Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,Volume,rsi,stocastic_oscillator,mfi,macd,ema,tema,vwap,obv,bbands_upper,bbands_lower,chaikin,BSE_Close,Label
2004-05-03,-1.6486526445749072,-1.6525714504404752,-1.6947293128498377,-1.6799137507921933,-1.6773918019463847,0.10317984206240097,-0.6292056006942213,-0.30501570299133646,-0.10609327184740491,-1.2922461700182588,-0.44721676420724077,-0.40021866642786036,0.10317984206240097,-0.8805343070637104,-1.429394376683477,-0.5775283513817516,-0.05595649652954639,-1.6410984348967799,-1.6473565035457305,-1.621271884462023,-1.6371844113940388,-1.5488522024112088,-1.6379856373380441,-0.4693541513793225,-1.6830402709622512,-1
2004-05-04,-1.6720198050129675,-1.644323996297499,-1.6717804136590055,-1.656879675233202,-1.6519989347306467,1.2456941246650794,-0.5697874559595582,0.09588083499177215,1.0725022723274866,2.039417808456325,-0.6364467853532053,0.3195268911918564,1.2456941246650794,-0.5392848019546705,-0.9813814202238365,-0.6554700911582743,-0.07638405917858404,-1.645566843257202,-1.6466232045467135,-1.6286334039553167,-1.5673151181677107,-1.5527532514745317,-1.645780787925495,0.3079025262788395,-1.6756386795142142,-1
2004-05-05,-1.6470185774114066,-1.6173396074996063,-1.6562019638433312,-1.6251565889651247,-1.6345968605596386,2.245413375587216,-0.33974224583787527,0.45930382993258734,1.8402930345096502,2.165070835093728,-0.469348930423143,0.42234768513753024,2.245413375587216,-0.1210772254814914,-0.3643671349929403,0.009750974208701208,-0.06806821157187011,-1.6451586318060465,-1.6462404028733266,-1.633643142828056,-1.4593311067729295,-1.5572633135477378,-1.6469019560642513,2.661431763526629,-1.6709900609471076,1
2004-05-06,-1.60943503265089,-1.5949193438099625,-1.610974206313954,-1.6049915263761145,-1.604542542391491,1.393642131824847,-0.3920980120383074,0.1819159516348085,1.0390137554645327,1.599260460708734,-0.7570670912298728,0.1506976863180957,1.393642131824847,0.11848911185711954,0.027843495929026088,-0.013017564132182182,-0.045961727561261455,-1.6420836995059338,-1.6460724945403766,-1.6326791034332617,-1.3838212333624373,-1.5596231312703663,-1.646651254910297,0.5651177954256229,-1.6625227641667037,1
2004-05-07,-1.607800965487389,-1.605889258543824,-1.6302378808172073,-1.6272058839436827,-1.6181729400532003,1.2022479001179864,-0.4475612247938011,0.10339842125058314,0.6470646085672451,0.6535169702781002,-0.6541525183259272,-0.21869553637562136,1.2022479001179864,-0.16274277294543654,-0.4042259389484246,-0.2577450722142304,-0.04496186686349434,-1.6424164467584481,-1.646074950606709,-1.6331355632606217,-1.452034120950314,-1.5628332275664536,-1.6478632183255564,-1.4627467599415813,-1.6729678671561148,1
2004-05-10,-1.6293706520455988,-1.6317526341572346,-1.6746280872812256,-1.6675360091217033,-1.6571112293738623,0.6618536012783086,-0.47486908845949416,-0.10802646330662295,0.39884293074229477,0.7390205091142029,-0.42508459799133846,-0.5081170304449254,0.6618536012783086,-0.6088690167378921,-1.188647200792354,-0.30762290796209374,-0.07404321957646863,-1.648147125795517,-1.6463081529437558,-1.6361153821176244,-1.499644247932036,-1.5632057711763971,-1.6560591440163166,-1.6658608266887012,-1.6865112553687869,1
2004-05-11,-1.6715295848639176,-1.6669844770981033,-1.7230385388589662,-1.7159813424148131,-1.7055092829009673,0.6055369403052294,-0.3998195459023999,-0.1488289552715784,0.06433175035592328,-0.8736505842380334,-0.2723726511016127,-0.6033214692835123,0.6055369403052294,-1.043746821487437,-1.6142452837279382,-0.5173582760522245,-0.1324234874706491,-1.6596511089450614,-1.646916945065884,-1.640800774609962,-1.5451072784572304,-1.558029188647421,-1.678021753555989,-1.7467535375101513,-1.7138909519190058,1
2004-05-12,-1.7226758870814902,-1.6886040170845455,-1.7237085797112535,-1.6931112104541064,-1.696472881950726,0.3395905955800161,-0.5418204369640036,-0.2322205974317339,0.0522150046801061,-0.5093311578928994,-0.5623040285299327,0.5454787593687693,0.3395905955800161,-0.7443991634910758,-1.2235263293409149,-0.4302674929604811,-0.15981759322827674,-1.6665350464436013,-1.6479205444907774,-1.6451393192525692,-1.509783564512948,-1.5610233625038412,-1.688729468258367,0.7141717346683263,-1.710027025881541,1
2004-05-13,-1.7140153311149364,-1.6542529702171984,-1.7575456427517506,-1.6899962820866985,-1.689345665114993,1.1382097774407876,-0.26657600422324257,0.03481077554690328,0.4962431979456941,0.21930769479736917,0.35950069436239784,0.4591600681551171,1.1382097774407876,-0.7037829770707091,-0.7711147790113375,-0.5851655330663351,-0.1773806307325408,-1.672080785513015,-1.649302355205988,-1.6582315127053318,-1.444012157366332,-1.5808585022451924,-1.6869032513547302,1.4239592684325881,-1.7051307350137277,1
2004-05-14,-1.6859093759027237,-1.6711482403547513,-1.7533578874249562,-1.7399990795635125,-1.7246277435483235,0.5165360920825094,-0.4466195743225703,-0.18562708983561338,0.03273447783658678,-0.9279267436731249,0.07067592524487283,-0.7518403938717079,0.5165360920825094,-1.13513383610425,-1.4482240148959107,-0.6273118121739242,-0.2267224388639514,-1.6836346574052528,-1.6511509937855948,-1.6674876584454292,-1.4860819930084297,-1.596255998027443,-1.696512815251639,-0.32915490139534653,-1.7443772688179904,1
