Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,Volume,rsi,stocastic_oscillator,mfi,macd,ema,tema,vwap,obv,bbands_upper,bbands_lower,chaikin,BSE_Close,Label
2004-05-03,-0.22557875989513487,-0.22547224979211045,-0.266956014311132,-0.27387529327499566,-0.25913823980638917,-0.6553912071701359,-0.6743432975669403,-0.7012029206021109,-0.5254240496590592,0.6890160771923518,0.4161015332890618,-1.0749565287853011,-0.6553912071701359,-1.5622969922958074,-1.6467424637219394,-2.1767146202473135,-0.3408223655033837,-0.20218187360808926,-0.1501450105351823,-0.19425289145027655,-1.4381079232821565,-0.195054276904504,-0.1966938673592046,-0.09606082771335979,-1.6594504913270012,-1
2004-05-04,-0.2609416063634739,-0.2622590262656681,-0.2589963144257827,-0.2659296601548347,-0.26250303821979604,-0.6890216296562937,-0.7506225928547798,-0.757044759650162,-0.5859161522373639,0.014004257763663729,-0.25083409228523523,-0.09787219319923278,-0.6890216296562937,-1.4004226072678516,-1.4491156759077848,-2.3528658041589448,-0.3715703079179213,-0.2111482231968713,-0.15411968600205825,-0.19947185534276918,-1.4376663316731106,-0.19927833373826873,-0.2098829456195923,-0.047100049921944574,-1.6521006446375528,-1
2004-05-05,-0.26459983186019864,-0.23729869327876307,-0.2541076798505289,-0.24166491901095843,-0.24219902343183197,-0.6524909517995292,-0.6444859862746494,-0.6912837772646154,-0.5610136660589976,-0.19693693580780133,0.054919237401640945,0.5310398368892647,-0.6524909517995292,-0.9328034151736263,-0.7898124532541185,-1.9569318658233228,-0.3690686731986007,-0.2156484091405697,-0.1582595737095184,-0.2048796135093797,-1.4369137737715745,-0.2030836878457087,-0.215433310498904,0.03985630769786644,-1.647484524709045,-1
2004-05-06,-0.23173677281462152,-0.23729869327876307,-0.23267289748210812,-0.24099259620848332,-0.23597122049559358,-0.7053835436094881,-0.8555321866420764,-0.7804874726802691,-0.5838734952327614,0.9903606394373018,-0.25083409228523523,-0.19558062675783963,-0.7053835436094881,-0.9201864770124534,-0.772026435312022,-2.0251061911595296,-0.3621917358441357,-0.21945794773753727,-0.16251833159689338,-0.20672176059673802,-1.4366114624611317,-0.20471006702123412,-0.2205293256565412,0.019153871534854566,-1.639076423066724,-1
2004-05-07,-0.2383825491336714,-0.2485902724871249,-0.2537316310370478,-0.2562726599011006,-0.25560985101284145,-0.7117932520169199,-0.8562479441045628,-0.7934947704809298,-0.612893311987803,-0.3702100590986476,-0.12030781703879101,-0.38962131875450945,-0.7117932520169199,-1.097307722809634,-1.1762541158142472,-2.034133681008524,-0.3666017983197807,-0.22481915136031178,-0.1668868884112679,-0.20857036895929437,-1.4368592113222485,-0.20770528165240146,-0.22792730284529775,0.026743459085990257,-1.649448504012644,-1
2004-05-10,-0.2578930851162033,-0.2528097573491969,-0.2689616079830309,-0.24979391289543088,-0.2611262276762199,-0.7085566246386793,-0.8419327948548343,-0.7887531601418012,-0.6040151178283005,0.02831812447029895,0.033462863388526776,0.19662928259713144,-0.7085566246386793,-0.9643541585828121,-0.9646458312140518,-1.7451534318774413,-0.35984063231437513,-0.22859225594709232,-0.17132797468628574,-0.2111254125973573,-1.4365839107682798,-0.21027576839932635,-0.2329364695633207,0.06619416732641249,-1.6628972099723907,1
2004-05-11,-0.2560030019428955,-0.2657653587566857,-0.2690242827852778,-0.2749754578608641,-0.2721218939861796,-0.719565394147967,-0.8919335661628148,-0.8075681667180882,-0.6110139394772989,0.34623663763872115,-0.16053851831337998,-0.4130162958037534,-0.719565394147967,-1.2539066778998436,-1.619117654943656,-1.722545822727112,-0.3734529620067683,-0.23525650649920546,-0.17586419917964247,-0.21268152438652937,-1.4367654995041266,-0.20980502020244787,-0.2436236719547603,0.034859281168907866,-1.6900854942029528,1
2004-05-12,-0.262282955712273,-0.26855853887664893,-0.26777078674034094,-0.27075816028170174,-0.27051601010978427,-0.724816864433395,-0.9016474174394163,-0.8158705571348956,-0.6164119327527843,0.3967118518147501,-0.22043756243332358,-0.17631417507022698,-0.724816864433395,-1.1628895070498033,-1.5093023402030699,-1.9800226364353504,-0.3758983901764148,-0.24046373974354576,-0.18048470098578007,-0.2168477789236833,-1.4366286137505564,-0.21398404736733195,-0.25067216639323653,0.030969888980770164,-1.686248580993934,1
2004-05-13,-0.2975238613307212,-0.2616647326231228,-0.30650381452889064,-0.26330148919970453,-0.2716944279898307,-0.6803945773093709,-0.7636084782456051,-0.7448883634930438,-0.5554235733786906,0.752298435263791,0.4357698761344164,0.7870084093104036,-0.6803945773093709,-0.9986692027558818,-0.6616129918084415,-1.439783194610285,-0.3665947754709489,-0.24397158871133764,-0.185149322726834,-0.22469871243339884,-1.4361135846188353,-0.22077875806314953,-0.2537473697040173,0.07940302584923611,-1.6813865202495628,-1
2004-05-14,-0.261551310612928,-0.26820196269112173,-0.30199122876711787,-0.3106085663920476,-0.29605538294667344,-0.6943934143625881,-0.845409331101197,-0.7711775152510414,-0.5774797867089511,0.5918324558683555,0.27305903986830105,-1.0900944551112823,-0.6943934143625881,-1.5134581712836865,-1.6107935535688704,-2.3182983638555883,-0.3984387232392338,-0.2533882569361503,-0.18993317173033605,-0.2412090709698706,-1.436509449072729,-0.2332204251258347,-0.26148810874803885,-0.012363428295381566,-1.7203586803017212,-1
2004-05-17,-0.3278871329535364,-0.3358325792127835,-0.3456755659331683,-0.3532093839670645,-0.3513513533156768,-0.7353935187691479,-0.9637138145435967,-0.8343609900505414,-0.6186498908189553,3.9141562546189297,-0.12120183262267079,-0.5520099829786729,-0.7353935187691479,-1.8547684295128135,-1.7098346540771845,-2.245565890335054,-0.45783982608803336,-0.26729154397071697,-0.1949710703446003,-0.2447533944838031,-1.4365563013755476,-0.23184673968626543,-0.28852196735031777,0.002310417515373594,-1.7871304294007937,1
2004-05-18,-0.37678541375975694,-0.3514030726474719,-0.3849726669419397,-0.39018713810319827,-0.38347706711980967,-0.6756675762247625,-0.7630972229152576,-0.7624291283170999,-0.5356245280550833,1.1689072925674344,0.20511385549343972,-0.2809034842315526,-0.6756675762247625,-2.089897073149859,-1.6874506692096656,-2.5788466269203405,-0.5329951048796029,-0.28432529988374905,-0.20041595585950103,-0.2624434755035587,-1.4371115689613054,-0.23103500401459867,-0.32174756559028994,-0.061859140503372344,-1.743161414118647,1
2004-05-19,-0.3829434266792436,-0.3633483748626336,-0.3756341214071599,-0.3555319536483424,-0.3609218397425617,-0.6911686489695035,-0.8338549606353446,-0.7773948409469279,-0.5414387367076821,1.8785737366542918,-0.10779159886447445,0.6383814962916778,-0.6911686489695035,-1.441518953926451,-1.1105543319422546,-1.7351709702106182,-0.5539125434132628,-0.29441670759145716,-0.20625086123997743,-0.27661518812213604,-1.4366882537893504,-0.23708470499488132,-0.3362643149158138,0.05628416761980672,-1.7278988946419096,1
2004-05-20,-0.31813186496227047,-0.3263238809320577,-0.32292461271756384,-0.3174540349263401,-0.31840331412446027,-0.723665404588623,-0.9524661972759528,-0.8168649943748554,-0.5719025006556322,5.395264778052858,-0.30268699615026107,0.03286444325242424,-0.723665404588623,-0.8421458701404175,-0.3160187035753834,-1.2796469494795708,-0.5289571578797787,-0.2980300623360076,-0.21233983745554594,-0.2844144728218973,-1.4365415662686112,-0.24682505800881796,-0.33869278530269004,0.05895540110543985,-1.7366475297215795,1
2004-05-21,-0.2826470776440406,-0.2855553370534462,-0.2937808296727813,-0.2755255401537984,-0.2808438909667334,-0.6081872845270637,-0.6944867575826299,-0.6335825172523419,-0.38942407435889914,1.8273451610726505,-0.10510955211283522,0.1759866557889751,-0.6081872845270637,-0.29289149956203925,0.6331716052296491,0.6526935394413682,-0.4648129513301943,-0.29551008442912663,-0.21846617085481815,-0.28844971732193275,-1.4354118747368296,-0.24700150998197445,-0.3387338536950485,0.19863669468824993,-1.7331641564353641,1
2004-05-24,-0.230334453040877,-0.24074559640552612,-0.24520785793147698,-0.22944086805686462,-0.23744157342251926,-0.6034179192097558,-0.6380441691122715,-0.6055638422194479,-0.4084611253767143,1.4235434476644175,-0.12388387937431002,0.03286444325242424,-0.6034179192097558,0.20452642415430652,1.5639549137214066,1.9142446488455527,-0.3668828804078288,-0.2871143394042022,-0.22436096017967244,-0.28096215066760916,-1.434241584126759,-0.24058956337451898,-0.340984513484067,0.24364027648206873,-1.714049352448617,-1
2004-05-25,-0.21600640317870515,-0.22660140771294662,-0.2472761264056228,-0.25089407748129927,-0.23973668355931765,-0.6196569768881217,-0.5522555246799695,-0.6344087299489145,-0.5215116251141938,0.0034571980850904346,0.11839434385710348,-0.7735741773862179,-0.6196569768881217,-0.030059851189539386,0.9537426611849603,1.1048938187004242,-0.30556551890836897,-0.282729710370853,-0.2298983404886408,-0.2789600496808348,-1.435273640248557,-0.24220310131671,-0.3404256244533099,-0.03732165291313629,-1.716533591170388,-1
2004-05-26,-0.2518570130466075,-0.24799597884457952,-0.24871764685730027,-0.2530332863982657,-0.2497864458740626,-0.6457643589315053,-0.6266943007785581,-0.682327328742888,-0.5613530416741823,-0.3212415677338431,-0.18288890791037385,-0.012549335725519774,-0.6457643589315053,-0.05358783686243477,0.9132275781627199,0.9061504050673107,-0.255911192643759,-0.27921804303270664,-0.23500579550080833,-0.2774522757821628,-1.4360834580688242,-0.24432830948184212,-0.3396711505345614,-0.10041076611411248,-1.7189303317172853,-1
2004-05-27,-0.25545426811838684,-0.2610704389805774,-0.2618166805268907,-0.2664186221929984,-0.2625703548130987,-0.7002879737003942,-0.8308896797193294,-0.7754296391447162,-0.5792599078602974,0.8600291162663607,-0.19272307933305116,-0.23273735501252107,-0.7002879737003942,-0.2046002834129829,0.6597189158235588,0.8386057261628003,-0.2262789374740514,-0.27797881067704583,-0.23967728730605686,-0.2776211025396677,-1.436429145264296,-0.24575838311053572,-0.3394892683250953,-0.08637602022830695,-1.7216971658957456,-1
2004-05-28,-0.27301375050266546,-0.27176772454639386,-0.30487426967047276,-0.3106085663920476,-0.2928941506174006,-0.6652154727331461,-0.70849515363415,-0.7261346599842765,-0.5483415086542697,0.4155458869550595,0.26054282169398457,-0.8313735324490558,-0.6652154727331461,-0.6533146738582047,-0.17720694203586404,0.2555712874876273,-0.24093490844207704,-0.282861182639764,-0.24402590472345023,-0.279950220037118,-1.437073386065505,-0.25165064668014925,-0.3417706526347322,-0.1304160204942453,-1.7480837776592153,1
2004-05-31,-0.30618166167296973,-0.29791664481838964,-0.32856534491977984,-0.3044354206602302,-0.31156651758233256,-0.6814841853744016,-0.7451010352870274,-0.7547860052735279,-0.5905073280125989,-0.37699031174915903,0.20511385549343972,0.056259420301668125,-0.6814841853744016,-0.5725835179483846,-0.06029198817168458,0.4613367180002781,-0.24391365906405252,-0.28626049185793717,-0.24811571128603274,-0.2821674599768248,-1.436567632189545,-0.25399763486876514,-0.343514188564926,-0.02805492369598708,-1.7570428813216912,-1
2004-06-01,-0.30240149532635413,-0.29791664481838964,-0.29892016345702255,-0.3045576611697712,-0.29871969458833886,-0.7031899236403089,-0.8262883817462023,-0.7848544954081803,-0.6040407310822767,-0.24138525873893146,-0.2177555156816843,-0.03181578741313239,-0.7031899236403089,-0.5738468622441565,-0.06260713577295594,0.33037777884036457,-0.2434857636262901,-0.2892230366750639,-0.25199158764927027,-0.28314552979353835,-1.4368886166237556,-0.257110727431776,-0.3449855981170305,-0.04021813279905307,-1.7481157026689669,-1
2004-06-02,-0.3097179463198036,-0.2955394702482082,-0.30036168390869994,-0.29184464817751354,-0.2938807690877122,-0.6882463641978931,-0.764221984642022,-0.7614674959646511,-0.5975093513183442,-0.45232645231039653,-0.16143253389725976,0.41956965212522024,-0.6882463641978931,-0.3928691245383685,0.17816821475921613,0.25995178332693103,-0.22861716613986494,-0.29007698540007865,-0.2556532012772097,-0.2842791232040336,-1.4364404255908982,-0.2607755707056359,-0.34492477099177754,0.022057380820631103,-1.737643117062718,-1
2004-06-03,-0.28667112569043784,-0.29179542030017247,-0.3090108066187644,-0.3125032942899322,-0.30096621280516545,-0.6872787651230369,-0.7713795592668863,-0.7613016877258033,-0.5955307274486823,-0.40411132235120445,0.01826459846257098,-0.5657717341841104,-0.6872787651230369,-0.6257609003757462,-0.21309172985556285,0.3058322946518734,-0.2332231105224212,-0.29360165823439577,-0.25915204695664884,-0.28498342477180866,-1.436896853281671,-0.2608370940048352,-0.34514942567415274,-0.034149393740564186,-1.750141167176532,-1
2004-06-04,-0.31581498881434483,-0.2802661236347925,-0.3102016278614545,-0.27069704002693123,-0.2922037085727845,-0.6664304789269672,-0.7543036312332815,-0.7278122327115764,-0.5390919223121122,0.7003164982765373,0.2086899178289588,1.0333437558877363,-0.6664304789269672,-0.062442170972856856,0.5786887497790781,0.7291052532228491,-0.195721836317163,-0.2910212995000224,-0.2624201205987994,-0.28483554701879554,-1.4362629551840094,-0.2590275682893877,-0.3342717511043966,0.08464982593643154,-1.7417448896118968,-1
2004-06-07,-0.27679391684928106,-0.26927169124770334,-0.2934674556615471,-0.2944728191326438,-0.2866891872014223,-0.6191214929868003,-0.5577770822477219,-0.6531763129952272,-0.5294741454440468,-0.13516130054758657,0.13538063995081887,-0.3827404431517907,-0.6191214929868003,-0.3365720377566704,0.04646368245714732,0.6103529638059355,-0.18583052230320585,-0.29198973165130526,-0.26547414159943716,-0.2793794659374853,-1.4372995695963526,-0.2697697736587657,-0.30549603685309396,-0.0622158929052169,-1.7359333554293617,-1
2004-06-08,-0.28850023843880024,-0.28484218468239175,-0.28995766673572376,-0.2853047809170734,-0.28541390341695366,-0.635130089239281,-0.5101280854593396,-0.6774892154645235,-0.5930366368427492,-1.0730962505349935,-0.1489163157229432,0.08791144807417456,-0.635130089239281,-0.2168621262109814,-0.3010731556576283,0.40370004214048827,-0.1674571772836314,-0.29159327741250896,-0.2683059758243215,-0.276290385299181,-1.436399227876351,-0.27602772966491523,-0.28642595164818774,-0.0026962681040681715,-1.7330388212118955,-1
2004-06-09,-0.286549184840547,-0.2826432982049739,-0.2790522511447729,-0.2832878125096479,-0.281297958377712,-0.6892639530673347,-0.7562464014886018,-0.7607807218069459,-0.6005381186010306,-0.5412230981726568,-0.2713964507144696,0.08928762319471831,-0.6892639530673347,-0.18955565570244653,-0.2455968675337069,0.2183589894560166,-0.1492089719787121,-0.29097781607617224,-0.2709095327770748,-0.2758603994893925,-1.4359596990380266,-0.27704510797549503,-0.2796988796287522,-0.018660336123973435,-1.7329063915418152,-1
2004-06-10,-0.2830129001937131,-0.2854364783249371,-0.2840662353245204,-0.28695502779587606,-0.2838254373625663,-0.7046794500620226,-0.8185173007249211,-0.7852412107361519,-0.6148879441412,-0.7717516882900434,-0.24189393644643767,-0.07310104102944513,-0.7046794500620226,-0.23794989657943036,-0.3464628459408352,-0.536704511931291,-0.13648209827163602,-0.2909387210926438,-0.27329464098177997,-0.27500153442342407,-1.4362680039235372,-0.27777513683169636,-0.28060246027666486,-0.01342798360581451,-1.735165972787558,-1
2004-06-11,-0.286549184840547,-0.29316229567802676,-0.2978546918188262,-0.3021739712337228,-0.296832607390159,-0.6980401275133596,-0.8061449217305129,-0.7768187868379617,-0.595745238450733,-0.04927810030777576,-0.16143253389725976,-0.33595048905330294,-0.6980401275133596,-0.4388944537550001,-0.7650566563304166,-1.5584495587969545,-0.1388249880551528,-0.2929562038649668,-0.275509478733712,-0.281203923357009,-1.4366328258418197,-0.2902672831361241,-0.2764795875245143,-0.029576544335535596,-1.7484006629411928,1
2004-06-14,-0.30124305725239137,-0.3098025176692968,-0.33420607712199585,-0.33799044052921773,-0.33081278723435903,-0.6690943418791108,-0.6891697021470164,-0.7414280235096444,-0.5586668516634277,0.25206646193717425,0.10677214126666669,-0.8107309056408993,-0.6690943418791108,-0.8572120584983033,-1.581465103650903,-1.4828966192926076,-0.17184653767936392,-0.2995323995509769,-0.27767508229160254,-0.2900964007638188,-1.4372440478865163,-0.29337759883327474,-0.28645133965678643,-0.07248071839978665,-1.7586521382947187,1
2004-06-15,-0.3438613842892344,-0.3253730111039852,-0.3354595731669327,-0.32503294651787834,-0.3250900400200859,-0.6990619528060712,-0.7880464830362132,-0.7824341897527545,-0.6072904126805079,-0.5555369648792917,-0.10957963003223399,0.4429646291744641,-0.6990619528060712,-0.6447211999703796,-1.0539624773776772,-1.1831828390975625,-0.18377685649719572,-0.30348522537293765,-0.27983615310264737,-0.2963886330216958,-1.4368879242251917,-0.30100526509132774,-0.28833230860352377,0.0074895781108618754,-1.7505124432158636,1
2004-06-16,-0.3212413566344865,-0.3228769778052947,-0.325682304016425,-0.3270499149253038,-0.32520950852823455,-0.7026925675484169,-0.8162677772713923,-0.7875892262451819,-0.6153617893397598,-0.85311472009618,-0.21149740659452604,-0.11301011952521409,-0.7026925675484169,-0.6689107584869871,-1.0683528196223002,-1.1291825688452646,-0.1927860612878054,-0.30718287541468353,-0.2820217674848485,-0.29925511816109235,-1.4372131423881207,-0.3063866531688079,-0.29122727379766816,0.0050974608566377215,-1.753592615452996,1
2004-06-17,-0.32800907380342725,-0.32786904440267567,-0.32919209294224827,-0.3252163072821897,-0.3308295775860746,-0.7111594830957356,-0.8406035309959309,-0.8001464411313259,-0.6034836428082943,0.22871225836319073,-0.23652984294315912,0.08103057247145577,-0.7111594830957356,-0.6360246345171459,-0.9957322345896716,-0.6675384757206919,-0.19587100887907236,-0.3101403530302149,-0.28424004368228434,-0.30059991994129803,-1.4369599985881945,-0.30584532556488087,-0.29423724165373194,0.030986199364298358,-1.747552876571126,1
