Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,Volume,rsi,stocastic_oscillator,mfi,macd,ema,tema,vwap,obv,bbands_upper,bbands_lower,chaikin,BSE_Close,Label
2008-04-09,3.9647079109399446,4.05748868823081,4.012020410226491,4.13826438404415,4.10171313774175,0.4464267749967027,2.3459839194585568,1.7697685200135036,-0.042596315992987945,-1.4262541624551046,2.7088918019459363,1.8142355914234287,0.4464267749967027,0.7143567738811887,1.5883697739781266,1.334707518734437,-1.051765957566176,3.909851244199907,4.498520544954846,3.7834735905947605,-1.790136455337482,3.5291303218929735,3.8541764934660407,0.9177008573492516,-0.9621122527617462,1
2008-04-10,4.0180039523122195,4.05748868823081,4.138449589504367,4.079040962835151,4.124355009263888,0.17792018249775204,1.5906813821499417,1.1497150781299377,-0.10944531711949292,-1.8939881034352766,1.4380831084072654,0.27346980543966876,0.17792018249775204,0.5902358911513805,1.3837273299081143,1.291279813984842,-0.6813444493459045,3.9554818790427024,4.467396162577422,3.831791891557487,-1.8145242920128368,3.6156149481012334,3.8539689335070673,-0.2206055935990828,-0.9753353993441427,1
2008-04-11,4.085004690037364,4.021023637690641,4.1839955050206195,4.124419947917372,4.114807164745635,-0.07547349933792413,0.6949425635946316,0.5551020889570774,-0.0961052408215645,-1.0708627846664756,0.5935083866144837,-0.030490791795222665,-0.07547349933792413,0.6695840017716795,1.5105306044575333,1.423697573271572,-0.34334527752849175,4.001323240193005,4.440902261466855,3.872748160304758,-1.8001213172257235,3.678385445298453,3.913194832849361,-0.2812645502055078,-0.9597381567450137,1
2008-04-15,4.057595297331623,4.367069525469797,4.1408054127207246,4.478222204490612,4.339415159140918,0.31470092221242807,1.9324770913432874,1.5383626985634755,-0.006983649200313754,-0.793247027548914,4.697983670093421,5.1682835609118865,0.31470092221242807,1.2148099865952904,1.6949391484781233,1.6236625412373775,0.2253295795495965,4.090130606949462,4.420044275155608,3.9559227775705947,-1.770343698196173,3.8504182893640544,3.8563307465048413,0.6007650445121105,-0.9117822487642899,1
2008-04-16,4.445895027329624,4.592557491054924,4.422718924278221,4.34670006128621,4.527655115787889,0.496193538294901,2.556734662509153,2.053971226181313,0.05284007659643271,-0.5642410333507698,4.2559632549495365,-1.9695497741557373,0.496193538294901,0.9197230207848709,0.8424532809048046,1.055743432866624,0.5592361539169027,4.148852708878509,4.404905728822039,4.055090610098008,-1.8072729505742389,3.9441341398366885,3.8714832482464545,-1.0692920513627866,-0.8992354354312603,1
2008-04-17,4.360621361133984,4.377488111338417,4.502031639228939,4.4659160390445845,4.451463887044259,0.014655787947227304,0.9511569038663801,0.8303420346743657,-0.0833052700332111,-1.1194725475858929,1.1776067923403326,0.8289840003861945,0.014655787947227304,1.0944869383642812,1.1319567504990027,0.8227439957557087,0.9167166341107174,4.21628241243309,4.39561308212083,4.10898435661828,-1.7893184725329463,4.052250458866272,3.8731001909386653,-0.5430781543799064,-0.8663875371869063,1
2008-04-21,4.436758563094377,4.410232238354078,4.372461362329253,4.31516551233077,4.379424428488002,-0.026494227805461665,0.7754670705371811,0.7157666086621943,-0.014417698240468207,0.5354198255818277,2.8272901274309055,-2.2735103713906284,-0.026494227805461665,0.7591486433994843,0.7658749437863392,0.5027504177695185,1.0610733838619115,4.253809913477058,4.391589397410505,4.1462770430746545,-1.8056514530648573,4.109669852816472,3.900818795648978,-0.6425721617503412,-0.830612557338735,1
2008-04-22,4.223574397605279,4.291162685569853,4.325344898002094,4.370543256837887,4.356306695349328,-0.048033286707537495,0.8809869238333091,0.6592060423874612,-0.08871106534251962,-1.0071299843943504,2.0379679575311096,1.4159423950466743,-0.048033286707537495,0.8486051812459725,0.9003539748236445,0.9788518837739281,1.2105263252210974,4.294015550912308,4.392358531492655,4.211285306879935,-1.7901672092764274,4.145699100746043,4.007383561793946,-0.0855733970088411,-0.8244396305094728,1
2008-04-23,4.364428221232004,4.353674200781572,4.5310867922306866,4.473607392448351,4.448357999850191,-0.08925120986791703,0.7412248908504868,0.5723366848545975,-0.08790885390676985,-0.7986481123177382,0.6329744951094736,0.8813909999094516,-0.08925120986791703,1.013929917804205,1.0977532483224755,0.9073974777543607,1.4024574649913544,4.343157125973096,4.397647381419833,4.256351798524675,-1.7763071388576532,4.183692676034692,4.122807165626201,0.01583356923840091,-0.8363350573113496,1
2008-04-24,4.535736925642887,4.450418212418755,4.560927219637887,4.526677730934337,4.518511069233654,0.13919797365173847,1.3113499585454038,1.1554229253648975,-0.03572495818583419,-0.6938670678025494,1.3591508914172858,-0.7537073852161712,0.13919797365173847,1.098407326031933,1.2357968231610845,0.8372093783346759,1.5833487611689698,4.393108219089709,4.407185842918742,4.302860944332612,-1.753445133073322,4.221306110273829,4.231291335831839,-0.04934565604874931,-0.8331418773799123,1
