Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2008-02-11,547.8,599.9,355.05,372.5,413.298737264,63882971.0,656394.0,26402751247.0,17585373.0,27.53,244.85,-175.3
2008-02-12,379.0,396.4,339.1,354.55,356.229047112,23067202.0,255910.0,8217207388.0,4125696.0,17.89,57.3,-24.45
2008-02-13,360.05,366.75,332.5,351.4,350.131998668,15171297.0,170361.0,5311956541.0,2343702.0,15.45,34.25,-8.65
2008-02-14,359.95,374.8,356.2,370.05,364.901747659,8315008.0,123837.0,3034160951.0,1165558.0,14.02,18.6,10.1
2008-02-15,365.05,389.2,358.0,384.7,377.735705089,11768611.0,153866.0,4445424574.0,1614719.0,13.72,31.2,19.65
2008-02-18,418.65,429.6,410.1,413.65,418.908640136,11264290.0,181967.0,4718708406.0,2603736.0,23.11,19.5,-5.0
2008-02-19,418.0,419.8,409.0,413.3,414.689615382,6264737.0,99988.0,2597921377.0,1033162.0,16.49,10.8,-4.7
2008-02-20,414.0,414.0,405.6,408.2,409.364762684,3483103.0,55004.0,1425859633.0,551522.0,15.83,8.4,-5.8
2008-02-21,412.0,425.0,411.0,421.95,418.735528144,5757399.0,84311.0,2410827511.0,1214792.0,21.1,14.0,9.95
2008-02-22,415.0,433.0,407.1,416.85,418.564261341,12525719.0,154034.0,5242818321.0,2730427.0,21.8,25.9,1.85
2008-02-25,425.0,456.0,421.4,450.4,441.339452072,17724296.0,226697.0,7822431085.0,4214229.0,23.78,34.6,25.4
2008-02-26,456.0,458.0,443.0,447.95,448.342078505,6676865.0,88602.0,2993519532.0,2101347.0,31.47,15.0,-8.05
2008-02-27,450.55,453.45,445.15,446.9,449.142412033,2566623.0,43632.0,1152779245.0,871760.0,33.97,8.3,-3.65
2008-02-28,444.9,447.9,436.8,442.65,442.517874613,2865153.0,46494.0,1267881416.0,597118.0,20.84,11.1,-2.25
2008-02-29,440.9,447.8,425.25,430.6,436.01595279,3233729.0,54975.0,1409957431.0,739468.0,22.87,22.55,-10.3
2008-03-03,419.0,423.95,407.5,412.0,418.193299484,1561820.0,33633.0,653142659.0,376770.0,24.12,16.45,-7.0
2008-03-04,413.9,413.9,389.05,392.35,399.496133454,2475465.0,47256.0,988938696.0,419432.0,16.94,24.85,-21.55
2008-03-05,390.0,393.0,374.05,376.25,380.583588124,2552420.0,47279.0,971409162.0,443647.0,17.38,18.95,-13.75
2008-03-07,370.0,372.0,331.0,338.2,342.392224223,4862665.0,83566.0,1664938685.0,1078169.0,22.17,41.0,-31.8
2008-03-10,334.65,341.85,310.15,335.0,325.628078814,4581675.0,74003.0,1491922028.0,571863.0,12.48,31.7,0.35
2008-03-11,329.9,364.4,325.05,358.1,354.483070638,5532518.0,75045.0,1961183969.0,476848.0,8.62,39.35,28.2
2008-03-12,368.5,377.5,340.1,344.65,357.371134218,4013160.0,63374.0,1434187541.0,627751.0,15.64,37.4,-23.85
2008-03-13,334.8,337.0,320.0,322.3,327.942985556,3092918.0,54376.0,1014300763.0,704659.0,22.78,17.0,-12.5
2008-03-14,325.15,342.8,318.0,337.45,332.134851719,3214160.0,56384.0,1067534555.0,463154.0,14.41,24.8,12.3
2008-03-17,328.0,334.1,315.15,316.95,323.569672383,3120964.0,49207.0,1009849299.0,779575.0,24.98,18.95,-11.05
2008-03-18,316.95,326.8,313.3,317.7,320.764910244,2204860.0,40661.0,707241720.0,276260.0,12.53,13.5,0.75
2008-03-19,330.0,333.45,313.0,314.75,321.59685393,1464494.0,29915.0,470976663.0,302813.0,20.68,20.45,-15.25
2008-03-24,318.1,318.65,303.45,306.5,308.473533584,1434705.0,29484.0,442568521.0,282402.0,19.68,15.2,-11.6
2008-03-25,313.0,322.5,308.5,319.55,317.602818399,1992479.0,35333.0,632816946.0,354517.0,17.79,14.0,6.55
2008-03-26,321.5,330.8,317.1,322.5,325.117462272,2218142.0,38679.0,721156698.0,294481.0,13.28,13.7,1.0
2008-03-27,319.1,330.9,317.2,328.25,326.331789445,1927816.0,31911.0,629107645.0,367356.0,19.06,13.7,9.15
2008-03-28,333.0,337.0,327.0,333.9,333.361120825,1641434.0,31359.0,547190278.0,228768.0,13.94,10.0,0.9
2008-03-31,330.0,334.0,315.15,317.55,325.873908981,2925704.0,25942.0,953410599.0,395076.0,13.5,18.85,-12.45
2008-04-01,321.0,324.0,312.1,319.8,318.8782051,1345122.0,27251.0,428930089.0,255692.0,19.01,11.9,-1.2
2008-04-02,319.8,331.95,319.8,326.15,327.697887818,983959.0,18463.0,322441286.0,222407.0,22.6,12.15,6.35
2008-04-03,329.95,332.35,324.0,329.6,328.543612199,1158552.0,18614.0,380634859.0,231968.0,20.02,8.35,-0.35
2008-04-04,328.0,331.0,320.15,321.9,325.022304114,625490.0,12987.0,203298201.0,118814.0,19.0,10.85,-6.1
2008-04-07,322.0,335.7,318.2,332.55,330.577592734,1392102.0,25091.0,460197728.0,279706.0,20.09,17.5,10.55
2008-04-08,335.0,362.4,327.1,351.35,350.772496983,5916449.0,74079.0,2075327589.0,441427.0,7.46,35.3,16.35
2008-04-09,354.0,368.0,347.05,362.25,361.491170606,3789728.0,61008.0,1369953211.0,413586.0,10.91,20.95,8.25
2008-04-10,357.5,368.0,355.1,358.4,362.970378708,2643065.0,45325.0,959354304.0,173843.0,6.58,12.9,0.9
2008-04-11,361.9,365.55,358.0,361.35,362.346611854,1560942.0,26726.0,565602045.0,221685.0,14.2,7.55,-0.55
2008-04-15,360.1,388.8,355.25,384.35,377.020397312,3227190.0,52422.0,1216716456.0,541305.0,16.77,33.55,24.25
2008-04-16,385.6,403.95,373.2,375.8,389.318235356,4002258.0,65384.0,1558152022.0,755853.0,18.89,30.75,-9.8
2008-04-17,380.0,389.5,378.25,383.55,384.340613133,1945841.0,32046.0,747865723.0,267590.0,13.75,11.25,3.55
2008-04-21,385.0,391.7,370.0,373.75,379.63422874,1770109.0,28398.0,671993965.0,514644.0,29.07,21.7,-11.25
2008-04-22,371.0,383.7,367.0,377.35,378.123932291,1678126.0,30589.0,634539602.0,248203.0,14.79,16.7,6.35
2008-04-23,380.25,387.9,380.1,384.05,384.137703515,1502104.0,27687.0,577014781.0,251080.0,16.72,7.8,3.8
2008-04-24,391.5,394.4,382.0,387.5,388.720848884,2477701.0,39525.0,963134036.0,438229.0,17.69,12.4,-4.0
2008-04-25,389.0,404.65,385.85,402.15,396.979533984,5125619.0,75538.0,2034765842.0,721829.0,14.08,18.8,13.15
2008-04-28,405.25,414.7,401.3,403.25,408.809174717,2941780.0,51730.0,1202626654.0,682253.0,23.19,13.4,-2.0
2008-04-29,405.0,406.95,397.2,402.3,402.498637029,1800478.0,34887.0,724689941.0,299256.0,16.62,9.75,-2.7
2008-04-30,404.4,407.0,393.15,394.3,399.478298672,1349111.0,27830.0,538940567.0,338427.0,25.09,13.85,-10.1
2008-05-02,399.0,404.35,395.25,396.75,399.644466504,1622916.0,31943.0,648589399.0,263545.0,16.24,9.1,-2.25
2008-05-05,399.0,405.85,396.0,400.75,402.4163199,1513747.0,30705.0,609156497.0,260094.0,17.18,9.85,1.75
2008-05-06,402.0,410.2,400.75,404.0,406.167705545,2407726.0,41668.0,977940545.0,325878.0,13.53,9.45,2.0
2008-05-07,407.8,413.9,400.25,411.5,409.393228837,2497444.0,38759.0,1022436663.0,415697.0,16.64,13.65,3.7
2008-05-08,410.0,426.9,406.65,419.8,418.836839841,5979787.0,82362.0,2504555090.0,520392.0,8.7,20.25,9.8
2008-05-09,420.0,427.7,405.15,408.05,418.326440186,2964877.0,54407.0,1240286441.0,569918.0,19.22,22.55,-11.95
2008-05-12,408.0,413.7,395.0,410.05,404.464345788,2281722.0,45955.0,922875196.0,312649.0,13.7,18.7,2.05
2008-05-13,414.0,420.0,405.0,406.65,413.632010769,1818613.0,35755.0,752236552.0,307023.0,16.88,15.0,-7.35
2008-05-14,407.0,411.5,404.0,409.25,408.734459028,1115696.0,23571.0,456023401.0,168424.0,15.1,7.5,2.25
2008-05-15,409.95,417.65,409.95,415.95,414.863428503,1216945.0,25486.0,504865975.0,248343.0,20.41,7.7,6.0
2008-05-16,420.0,420.0,415.1,417.25,417.209792731,920928.0,19585.0,384220180.0,196012.0,21.28,4.9,-2.75
2008-05-20,417.25,437.2,415.15,434.8,429.543067761,3539109.0,64654.0,1520199737.0,741413.0,20.95,22.05,17.55
2008-05-21,433.0,448.0,430.05,442.9,443.495163611,3708552.0,67339.0,1644724876.0,574256.0,15.48,17.95,9.9
2008-05-22,442.0,447.7,428.0,439.45,439.075855359,4112511.0,69148.0,1805704285.0,772184.0,18.78,19.7,-2.55
2008-05-23,442.1,446.4,436.5,439.75,441.948603232,3129224.0,53920.0,1382956176.0,514891.0,16.45,9.9,-2.35
2008-05-26,437.0,444.5,419.1,422.45,431.931691463,3290921.0,60633.0,1421453074.0,600073.0,18.23,25.4,-14.55
2008-05-27,425.5,428.95,407.6,413.3,416.677148342,3453710.0,66117.0,1439082034.0,477676.0,13.83,21.35,-12.2
2008-05-28,413.5,417.45,401.0,411.2,408.295300812,3218088.0,57285.0,1313930208.0,575539.0,17.88,16.45,-2.3
2008-05-29,415.0,426.7,403.0,409.55,416.521302938,3816328.0,73577.0,1589581911.0,729782.0,19.12,23.7,-5.45
2008-05-30,308.95,309.4,231.7,235.85,245.30993469,14439313.0,143581.0,3542106929.0,2663178.0,18.44,77.7,-73.1
2008-06-02,238.8,239.4,225.6,228.6,233.361494481,3582193.0,46860.0,835945912.0,610692.0,17.05,13.8,-10.2
2008-06-03,226.9,226.9,215.6,218.8,220.066200116,3679918.0,46834.0,809825571.0,644949.0,17.53,11.3,-8.1
2008-06-04,220.15,220.45,201.15,202.8,210.339233164,3549650.0,46222.0,746630659.0,982095.0,27.67,19.3,-17.35
2008-06-05,201.0,204.9,191.0,198.65,197.88086042,5031871.0,58124.0,995710963.0,1226122.0,24.37,13.9,-2.35
2008-06-06,201.0,202.0,191.2,193.6,197.27325813,2808491.0,37611.0,554040170.0,668763.0,23.81,10.8,-7.4
2008-06-09,183.6,190.0,181.55,185.15,184.65964527,2180193.0,31758.0,402593666.0,499027.0,22.89,8.45,1.55
2008-06-10,183.0,191.65,179.25,182.3,184.16373757,2948804.0,35072.0,543062766.0,629901.0,21.36,12.4,-0.7
2008-06-11,184.7,188.7,179.55,182.4,184.356447094,2160012.0,28554.0,398212138.0,424697.0,19.66,9.15,-2.3
2008-06-12,181.5,188.9,175.15,186.15,183.6710073,2730477.0,34279.0,501509461.0,370891.0,13.58,13.75,4.65
2008-06-13,187.5,193.5,183.15,187.5,189.474147318,5286937.0,57407.0,1001737880.0,430051.0,8.13,10.35,0.0
2008-06-16,190.0,192.8,184.0,184.7,188.600209817,2721420.0,31325.0,513260383.0,544453.0,20.01,8.8,-5.3
2008-06-17,185.0,192.0,182.85,191.0,188.190135047,2607757.0,31864.0,490754142.0,544371.0,20.88,9.15,6.0
2008-06-18,191.5,195.0,185.8,186.6,191.083880778,3879387.0,44848.0,741288323.0,679063.0,17.5,9.2,-4.9
2008-06-19,185.0,185.95,180.05,180.7,182.411489234,1949808.0,25300.0,355667381.0,534666.0,27.42,5.9,-4.3
2008-06-20,183.0,183.5,173.75,175.05,177.461635785,2370373.0,32703.0,420650270.0,597859.0,25.22,9.75,-7.95
2008-06-23,174.0,175.0,160.0,162.25,166.581998135,2434781.0,35102.0,405590684.0,791376.0,32.5,15.0,-11.75
2008-06-24,161.7,164.0,150.6,152.75,156.46266704,4631899.0,52197.0,724719271.0,869297.0,18.77,13.4,-8.95
2008-06-25,149.0,157.0,146.5,155.65,152.964365869,4028834.0,46698.0,616268038.0,509087.0,12.64,10.5,6.65
2008-06-26,155.5,158.4,150.15,153.8,153.634025358,3585661.0,39232.0,550879533.0,616744.0,17.2,8.25,-1.7
2008-06-27,148.0,150.0,143.0,144.65,146.730539541,3743347.0,42942.0,549263325.0,1141058.0,30.48,7.0,-3.35
2008-06-30,144.2,146.65,135.2,136.8,141.460677485,2275770.0,29977.0,321931966.0,586163.0,25.76,11.45,-7.4
2008-07-01,136.8,137.9,126.15,127.35,131.782332237,2917336.0,35367.0,384453342.0,641717.0,22.0,11.75,-9.45
2008-07-02,130.0,134.9,116.3,132.55,125.30481713,6397918.0,67686.0,801689945.0,709646.0,11.09,18.6,2.55
2008-07-03,131.0,139.1,122.1,130.55,129.982209706,7219892.0,69862.0,938457516.0,635857.0,8.81,17.0,-0.45
2008-07-04,132.0,142.5,127.0,136.35,136.190020988,8268013.0,83520.0,1126020864.0,661678.0,8.0,15.5,4.35
2008-07-07,139.0,143.5,134.4,135.7,139.866970278,5673266.0,53309.0,793502527.0,853669.0,15.05,9.1,-3.3
2008-07-08,133.9,139.85,128.0,137.0,135.3527142,5425024.0,56252.0,734291723.0,429964.0,7.93,11.85,3.1
2008-07-09,139.95,150.0,139.95,148.75,145.44661418,6854292.0,64667.0,996933564.0,1254892.0,18.31,10.05,8.8
2008-07-10,146.3,152.85,146.3,148.2,149.521965653,5256229.0,57434.0,785921692.0,781722.0,14.87,6.55,1.9
2008-07-11,149.4,150.0,139.0,140.55,144.092493626,4218215.0,46323.0,607813118.0,910102.0,21.58,11.0,-8.85
2008-07-14,140.55,142.65,136.9,137.9,139.863321462,3721506.0,40379.0,520502190.0,445396.0,11.97,5.75,-2.65
2008-07-15,137.0,137.0,130.15,130.9,133.496883381,2894643.0,33377.0,386425819.0,806673.0,27.87,6.85,-6.1
2008-07-16,135.55,135.55,125.4,128.1,129.801105496,3628959.0,41329.0,471042890.0,613238.0,16.9,10.15,-7.45
2008-07-17,133.0,134.9,129.15,131.75,131.313008791,2650031.0,29496.0,347983544.0,410961.0,15.51,5.75,-1.25
2008-07-18,133.05,134.55,130.8,132.15,132.733058655,3164669.0,30619.0,420056196.0,817728.0,25.84,3.75,-0.9
2008-07-21,132.15,134.85,129.55,132.3,131.644906536,1968876.0,24350.0,259192497.0,403772.0,20.51,5.3,0.15
2008-07-22,132.0,144.2,131.5,142.75,139.480359476,6411107.0,65649.0,894223509.0,974492.0,15.2,12.7,10.75
2008-07-23,150.0,173.2,150.0,170.95,163.258051084,13976783.0,119995.0,2281822353.0,2110563.0,15.1,23.2,20.95
2008-07-24,174.15,189.7,171.4,176.0,179.558746232,17765684.0,159218.0,3189983945.0,2357147.0,13.27,18.3,1.85
2008-07-25,170.0,175.25,166.5,168.85,170.7041929,9502517.0,85708.0,1622119495.0,923884.0,9.72,8.75,-1.15
2008-07-28,171.0,173.2,168.0,169.2,170.489083931,4361460.0,43041.0,743581320.0,536338.0,12.3,5.2,-1.8
2008-07-29,166.0,167.2,151.95,154.15,158.696721919,7269345.0,62440.0,1153621222.0,1340456.0,18.44,15.25,-11.85
2008-07-30,157.0,163.8,157.0,163.05,161.900221791,5375793.0,53028.0,870342079.0,964000.0,17.93,6.8,6.05
2008-07-31,165.0,168.7,162.55,165.3,165.49379284,4958709.0,51061.0,820635560.0,671318.0,13.54,6.15,0.3
2008-08-01,162.0,172.0,160.0,169.9,167.214854823,6023835.0,60465.0,1007274695.0,1094264.0,18.17,12.0,7.9
2008-08-04,170.0,173.9,168.0,170.9,171.745745259,4908994.0,48928.0,843098833.0,773543.0,15.76,5.9,0.9
2008-08-05,171.0,174.85,169.7,171.95,172.863587902,3285669.0,33030.0,567972532.0,783197.0,23.84,5.15,0.95
2008-08-06,175.0,176.5,165.35,166.95,172.083098001,3689102.0,37554.0,634832101.0,964373.0,26.14,11.15,-8.05
2008-08-07,166.0,170.5,165.0,166.45,167.85923511,3559936.0,34981.0,597568134.0,514666.0,14.46,5.5,0.45
2008-08-08,165.0,170.35,164.1,168.9,168.126232208,4034121.0,37191.0,678241564.0,675937.0,16.76,6.25,3.9
2008-08-11,170.8,173.25,169.3,170.2,171.216495448,2549661.0,26572.0,436544021.0,502232.0,19.7,3.95,-0.6
2008-08-12,172.0,175.0,169.5,171.1,172.391431477,4045855.0,39650.0,697470735.0,619205.0,15.3,5.5,-0.9
2008-08-13,169.5,173.6,169.0,171.65,172.192574008,2345976.0,24685.0,403959646.0,414981.0,17.69,4.6,2.15
2008-08-14,171.0,171.9,163.5,164.5,167.456543368,2267502.0,23285.0,379708047.0,709413.0,31.29,8.4,-6.5
2008-08-18,163.4,166.95,161.0,161.7,163.952812796,2178366.0,22800.0,357149233.0,578883.0,26.57,5.95,-1.7
2008-08-19,160.0,160.35,154.2,157.1,156.955577638,2354805.0,28677.0,369599779.0,526665.0,22.37,6.15,-2.9
2008-08-20,159.8,163.25,158.0,160.6,161.207944729,2336568.0,26844.0,376673325.0,327769.0,14.03,5.25,0.8
2008-08-21,159.8,160.5,155.05,155.45,157.610767348,2252681.0,25007.0,355046781.0,570514.0,25.33,5.45,-4.35
2008-08-22,154.0,157.65,153.2,156.45,155.854317539,1792769.0,22096.0,279410789.0,330690.0,18.45,4.45,2.45
2008-08-25,160.0,161.0,154.5,155.05,157.370081403,1321947.0,16270.0,208034907.0,349468.0,26.44,6.5,-4.95
2008-08-26,153.0,156.45,152.75,155.85,154.667985537,1217203.0,14571.0,188262336.0,307847.0,25.29,3.7,2.85
2008-08-27,156.95,157.5,154.0,154.45,155.096410515,871295.0,10281.0,135134727.0,252952.0,29.03,3.5,-2.5
2008-08-28,154.45,155.8,153.0,153.85,154.329147978,1103610.0,12609.0,170319191.0,291438.0,26.41,2.8,-0.6
2008-08-29,156.1,158.45,155.55,157.25,157.241021034,1347928.0,16526.0,211949575.0,386730.0,28.69,2.9,1.15
2008-09-01,156.5,157.45,154.8,156.9,156.297227016,1019840.0,11513.0,159398164.0,201399.0,19.75,2.65,0.4
2008-09-02,157.8,162.9,157.15,160.85,160.424720217,2062579.0,23321.0,330888659.0,493565.0,23.93,5.75,3.05
2008-09-04,160.0,161.0,157.2,159.3,159.290015091,1235184.0,14824.0,196752478.0,171301.0,13.87,3.8,-0.7
2008-09-05,156.0,166.9,155.05,162.9,162.775071436,3553546.0,37705.0,578428704.0,416758.0,11.73,11.85,6.9
2008-09-08,172.9,179.0,168.15,168.95,172.534772733,5772454.0,54783.0,995949039.0,1249496.0,21.65,10.85,-3.95
2008-09-09,167.9,171.4,164.6,169.4,167.817862279,5804388.0,44340.0,974079986.0,535976.0,9.23,6.8,1.5
2008-09-10,168.0,171.1,167.0,169.75,169.214223335,4674164.0,38210.0,790935031.0,643535.0,13.77,4.1,1.75
2008-09-11,168.9,170.8,166.2,168.6,168.772557068,4037105.0,35234.0,681352534.0,690516.0,17.1,4.6,-0.3
2008-09-12,170.0,172.25,165.6,167.65,169.49314947,4700001.0,46039.0,796617972.0,534532.0,11.37,6.65,-2.35
