Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,605.0,609.0,592.15,596.25,600.60871037659,29528.0,798.0,17734774.0,6166.0,20.88,16.85,-8.75
2004-01-02,604.75,620.0,600.0,604.7,610.42941644066,42772.0,1113.0,26109287.0,10372.0,24.25,20.0,-0.05
2004-01-05,605.0,611.95,585.25,604.45,600.04889694087,52989.0,1406.0,31795991.0,24371.0,45.99,26.7,-0.55
2004-01-06,609.9,610.0,570.05,581.55,588.54704175871,37573.0,1047.0,22113478.0,14014.0,37.3,39.95,-28.35
2004-01-07,580.0,602.0,570.0,586.2,586.84111888424,89482.0,2349.0,52511717.0,28944.0,32.35,32.0,6.2
2004-01-08,590.0,610.0,590.0,606.0,600.32715700674,26553.0,997.0,15940487.0,11306.0,42.58,20.0,16.0
2004-01-09,610.0,625.0,575.0,579.9,591.66549738566,30218.0,895.0,17878948.0,9913.0,32.8,50.0,-30.1
2004-01-12,586.0,586.0,571.0,575.25,579.06264795889,17319.0,542.0,10028786.0,6864.0,39.63,15.0,-10.75
2004-01-13,580.0,605.0,570.0,599.3,588.05069412461,60796.0,1669.0,35751130.0,34618.0,56.94,35.0,19.3
2004-01-14,615.15,659.2,615.15,659.2,647.17150498833,117775.0,2942.0,76220624.0,54173.0,46.0,44.05,44.05
2004-01-15,595.55,699.0,595.55,660.35,669.91214815067,117664.0,3650.0,78824543.0,39803.0,33.83,103.45,64.8
2004-01-16,666.0,701.0,653.0,656.15,676.01417356292,98846.0,3086.0,66821297.0,25464.0,25.76,48.0,-9.85
2004-01-19,665.7,685.0,660.0,679.65,671.39445224949,61214.0,2087.0,41098740.0,21893.0,35.76,25.0,13.95
2004-01-20,682.7,699.0,625.0,640.35,670.615,53600.0,1818.0,35944964.0,12828.0,23.93,74.0,-42.35
2004-01-21,643.8,657.0,590.25,599.1,632.93933848448,59016.0,1866.0,37353548.0,21944.0,37.18,66.75,-44.7
2004-01-22,600.65,628.5,581.0,595.3,603.10981721063,69643.0,1691.0,42002377.0,28535.0,40.97,47.5,-5.35
2004-01-23,598.4,625.0,595.0,621.85,607.31933476108,29884.0,1065.0,18149131.0,12919.0,43.23,30.0,23.45
2004-01-27,629.75,632.0,616.0,621.55,625.09610530112,22184.0,712.0,13867132.0,7957.0,35.87,16.0,-8.2
2004-01-28,622.25,647.5,620.0,633.45,633.9344438275,27015.0,1005.0,17125739.0,10262.0,37.99,27.5,11.2
2004-01-29,627.0,640.0,615.0,622.4,631.58093586055,23636.0,847.0,14928047.0,8656.0,36.62,25.0,-4.6
2004-01-30,630.0,634.4,600.0,604.25,608.48678566072,33335.0,692.0,20283907.0,19378.0,58.13,34.4,-25.75
2004-02-03,609.95,632.0,573.1,613.0,601.00025793937,96922.0,2088.0,58250147.0,71566.0,73.84,58.9,3.05
2004-02-04,617.0,618.0,597.0,603.55,604.807718348,29540.0,866.0,17866020.0,19102.0,64.66,21.0,-13.45
2004-02-05,607.5,614.9,600.35,604.35,608.89831433091,18331.0,1225.0,11161715.0,6718.0,36.65,14.55,-3.15
2004-02-06,602.0,602.0,581.0,590.75,590.16347381865,18792.0,1228.0,11090352.0,7722.0,41.09,21.0,-11.25
2004-02-09,593.0,598.0,574.0,580.3,581.94793787447,17191.0,673.0,10004267.0,6707.0,39.01,24.0,-12.7
2004-02-10,589.9,589.9,552.45,556.5,566.6247289444,23058.0,862.0,13065233.0,9747.0,42.27,37.45,-33.4
2004-02-11,560.0,602.0,557.0,596.6,582.2523081142,65638.0,3110.0,38217877.0,34230.0,52.15,45.0,36.6
2004-02-12,605.0,656.25,601.0,656.25,642.27247578041,92900.0,2645.0,59667113.0,33492.0,36.05,55.25,51.25
2004-02-13,662.1,680.0,644.0,677.1,669.67596735512,55874.0,2018.0,37417475.0,17487.0,31.3,36.0,15.0
2004-02-16,675.0,725.0,673.0,695.25,697.31225973026,140207.0,3694.0,97768060.0,64966.0,46.34,52.0,20.25
2004-02-17,699.0,705.0,656.5,661.1,676.64631623335,75887.0,2231.0,51348659.0,32927.0,43.39,48.5,-37.9
2004-02-18,675.95,682.0,650.1,654.6,666.65182840749,43918.0,1417.0,29278015.0,17349.0,39.5,31.9,-21.35
2004-02-19,656.65,668.0,632.1,636.45,649.41308185724,33986.0,1146.0,22070953.0,7162.0,21.07,35.9,-20.2
2004-02-20,636.0,636.0,610.1,619.8,622.97314154406,33509.0,1085.0,20875207.0,8881.0,26.5,25.9,-16.2
2004-02-23,629.0,652.0,618.0,621.95,633.28390849166,51580.0,1879.0,32664784.0,26458.0,51.3,34.0,-7.05
2004-02-24,623.0,631.8,610.0,617.2,621.16089235742,25371.0,1199.0,15759473.0,6152.0,24.25,21.8,-5.8
2004-02-25,625.0,637.8,601.0,604.6,623.20545440398,25704.0,1024.0,16018873.0,3769.0,14.66,36.8,-20.4
2004-02-26,619.0,622.0,596.2,599.0,608.81011556118,12634.0,539.0,7691707.0,4357.0,34.49,25.8,-20.0
2004-02-27,605.0,620.0,576.2,584.15,582.7157846447,85013.0,1278.0,49538417.0,64527.0,75.9,43.8,-20.85
2004-03-01,595.0,614.9,588.0,604.4,601.71511054372,34466.0,1278.0,20738713.0,9403.0,27.28,26.9,9.4
2004-03-03,612.9,639.0,612.05,634.1,627.35712702693,54146.0,1705.0,33968879.0,12581.0,23.24,26.95,21.2
2004-03-04,639.0,644.0,617.05,625.65,626.76427836591,30133.0,1007.0,18886288.0,6694.0,22.21,26.95,-13.35
2004-03-05,629.9,629.9,616.1,622.2,622.58798073993,16407.0,669.0,10214801.0,4729.0,28.82,13.8,-7.7
2004-03-08,625.0,630.0,596.1,597.95,610.60737343873,16573.0,754.0,10119596.0,7730.0,46.64,33.9,-27.05
2004-03-09,603.45,613.75,590.0,592.8,600.09638186662,49169.0,1329.0,29506139.0,28356.0,57.67,23.75,-10.65
2004-03-10,597.0,602.8,575.1,576.85,585.65771706704,25476.0,1099.0,14920216.0,11742.0,46.09,27.7,-20.15
2004-03-11,576.0,579.9,531.55,535.8,554.21852703579,33918.0,1264.0,18797984.0,15032.0,44.32,48.35,-40.2
2004-03-12,536.0,541.0,497.0,512.65,512.72706261042,82638.0,3053.0,42370739.0,29642.0,35.87,44.0,-23.35
2004-03-15,525.0,535.0,471.0,476.75,509.39944966751,65415.0,2195.0,33322365.0,25804.0,39.45,64.0,-48.25
2004-03-16,479.0,482.0,437.0,474.9,464.24492095975,67434.0,2165.0,31305892.0,17367.0,25.75,45.0,-4.1
2004-03-17,480.0,492.9,471.0,487.3,483.75024458848,32708.0,1222.0,15822503.0,5776.0,17.66,21.9,7.3
2004-03-18,491.5,494.5,470.0,472.45,478.48886701355,21333.0,911.0,10207603.0,5886.0,27.59,24.5,-19.05
2004-03-19,470.0,480.0,455.05,469.9,467.58653682599,23516.0,1058.0,10995765.0,5406.0,22.99,24.95,-0.1
2004-03-22,468.0,468.0,445.0,450.3,453.65529514472,14891.0,593.0,6755381.0,4140.0,27.8,23.0,-17.7
2004-03-23,450.0,452.0,428.0,441.35,440.26613335717,22376.0,832.0,9851395.0,7555.0,33.76,24.0,-8.65
2004-03-24,436.25,436.9,410.15,416.75,427.83937455579,33768.0,938.0,14447280.0,14072.0,41.67,26.75,-19.5
2004-03-25,416.0,458.4,415.0,458.4,441.26776347939,30695.0,917.0,13544714.0,11868.0,38.66,43.4,42.4
2004-03-26,465.0,503.0,465.0,482.6,486.67823636719,61396.0,2146.0,29880097.0,16931.0,27.58,38.0,17.6
2004-03-29,485.7,490.0,468.0,483.5,479.94594288305,26472.0,931.0,12705129.0,6427.0,24.28,22.0,-2.2
2004-03-30,485.0,492.0,473.25,483.75,486.11039191346,22556.0,882.0,10964706.0,4671.0,20.71,18.75,-1.25
2004-03-31,478.85,484.9,473.0,479.05,479.72677856189,10486.0,485.0,5030415.0,2078.0,19.82,11.9,0.2
2004-04-01,480.0,516.0,475.0,498.9,500.2390102592,79051.0,2380.0,39544394.0,29421.0,37.22,41.0,18.9
2004-04-02,502.1,525.0,500.0,520.55,515.45865475475,58205.0,1810.0,30002271.0,27538.0,47.31,25.0,18.45
2004-04-05,526.9,542.0,502.1,514.15,525.78872324883,36961.0,1358.0,19433677.0,12631.0,34.17,39.9,-12.75
2004-04-06,507.0,518.7,481.0,488.25,495.32178022844,20312.0,1031.0,10060976.0,7711.0,37.96,37.7,-18.75
2004-04-07,494.5,501.8,481.6,491.5,491.10450858329,21204.0,1040.0,10413380.0,3536.0,16.68,20.2,-3.0
2004-04-08,494.7,495.0,478.0,481.8,484.85440219253,14595.0,653.0,7076450.0,3949.0,27.06,17.0,-12.9
2004-04-12,488.7,502.85,480.0,485.1,489.61921548878,35742.0,1085.0,17499970.0,11174.0,31.26,22.85,-3.6
2004-04-13,486.25,488.0,470.0,480.2,478.39372556814,30186.0,994.0,14440793.0,11676.0,38.68,18.0,-6.05
2004-04-15,484.7,487.0,455.0,458.15,470.97249246036,41116.0,1247.0,19364505.0,19454.0,47.31,32.0,-26.55
2004-04-16,462.2,468.5,432.0,442.3,451.70245629089,46615.0,1483.0,21056110.0,17788.0,38.16,36.5,-19.9
2004-04-17,446.7,463.0,445.0,450.45,452.40507768094,21112.0,961.0,9551176.0,6601.0,31.27,18.0,3.75
2004-04-19,454.7,472.5,438.25,440.75,453.21456859342,44946.0,1721.0,20370182.0,14174.0,31.54,34.25,-13.95
2004-04-20,443.65,448.0,425.6,429.65,435.635354532,44594.0,1680.0,19426723.0,22083.0,49.52,22.4,-14.0
2004-04-21,430.0,460.0,430.0,444.45,447.03225721854,152524.0,4054.0,68183148.0,53515.0,35.09,30.0,14.45
2004-04-22,449.9,461.5,443.05,447.05,452.75843942998,100066.0,2605.0,45305726.0,38122.0,38.1,18.45,-2.85
2004-04-23,452.0,480.1,450.0,468.75,469.00137280087,169726.0,4852.0,79601727.0,61124.0,36.01,30.1,16.75
2004-04-27,465.0,466.7,441.0,443.7,450.85579573854,38813.0,1460.0,17499066.0,14703.0,37.88,25.7,-21.3
2004-04-28,448.95,462.0,442.05,448.85,450.56356485626,68143.0,2102.0,30702753.0,16450.0,24.14,19.95,-0.1
2004-04-29,445.0,445.95,423.05,425.5,431.71073755681,91315.0,2331.0,39421666.0,37979.0,41.59,22.9,-19.5
2004-04-30,428.7,446.9,414.0,418.45,432.92671966362,76105.0,2474.0,32947888.0,25437.0,33.42,32.9,-10.25
2004-05-03,419.0,427.95,376.65,378.75,391.66557997582,100918.0,2964.0,39526107.0,34093.0,33.78,51.3,-40.25
2004-05-04,390.0,397.0,383.0,385.25,388.90363571032,61226.0,2218.0,23811014.0,15199.0,24.82,14.0,-4.75
2004-05-05,387.0,418.0,386.9,405.1,405.56988144641,104341.0,3256.0,42317567.0,22977.0,22.02,31.1,18.1
2004-05-06,413.95,418.0,404.0,405.65,410.68187999523,41915.0,1192.0,17213731.0,15837.0,37.78,14.0,-8.3
2004-05-07,408.5,408.5,387.2,393.15,394.56180494905,34350.0,1185.0,13553198.0,6773.0,19.72,21.3,-15.35
2004-05-10,392.5,404.95,375.05,398.45,390.03376997642,38170.0,1325.0,14887589.0,9546.0,25.01,29.9,5.95
2004-05-11,394.05,394.05,375.0,377.85,381.00814235215,25177.0,836.0,9592642.0,7360.0,29.23,19.05,-16.2
2004-05-12,388.9,391.7,376.0,381.3,382.32630802466,18979.0,741.0,7256171.0,5674.0,29.9,15.7,-7.6
2004-05-13,360.0,397.5,345.1,387.4,381.35902139816,71408.0,2091.0,27232085.0,24723.0,34.62,52.4,27.4
2004-05-14,389.5,392.0,348.7,348.7,361.36269722698,54886.0,1291.0,19833753.0,17834.0,32.49,43.3,-40.8
2004-05-17,335.1,335.1,313.85,313.85,315.97383004926,6496.0,134.0,2052566.0,4975.0,76.59,21.25,-21.25
2004-05-18,295.0,322.0,282.5,283.6,289.60392014236,76987.0,2096.0,22295737.0,30907.0,40.15,39.5,-11.4
2004-05-19,289.95,311.95,289.95,311.95,308.1180399373,58692.0,1404.0,18084064.0,29091.0,49.57,22.0,22.0
2004-05-20,343.1,343.1,332.0,343.1,343.01873340545,20338.0,244.0,6976315.0,19576.0,96.25,11.1,0.0
2004-05-21,372.2,377.4,355.25,377.4,373.84882206474,156630.0,2767.0,58555941.0,76571.0,48.89,22.15,5.2
2004-05-24,415.1,415.1,394.0,415.1,409.47496286801,162259.0,3319.0,66440998.0,70625.0,43.53,21.1,0.0
2004-05-25,426.85,427.0,392.35,397.55,407.59105616627,143093.0,4158.0,58323427.0,35315.0,24.68,34.65,-29.3
2004-05-26,397.45,409.0,391.2,395.8,399.34185963662,112280.0,3430.0,44838104.0,22871.0,20.37,17.8,-1.65
