Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2005-07-12,65.0,70.0,60.15,60.8,62.1132900582,26141270.0,53078.0,1623720286.0,7123756.0,27.25,9.85,-4.2
2005-07-13,61.45,62.35,57.4,58.5,60.1262456469,5756848.0,13173.0,346137657.0,1799410.0,31.26,4.95,-2.95
2005-07-14,59.4,59.8,57.0,57.3,58.0624537494,1362144.0,4998.0,79089423.0,481702.0,35.36,2.8,-2.1
2005-07-15,57.8,64.4,56.25,61.75,61.5288082787,7338637.0,18200.0,451537589.0,1725030.0,23.51,8.15,3.95
2005-07-18,62.8,65.65,62.35,64.25,64.3788647294,6084805.0,14645.0,391732838.0,1717998.0,28.23,3.3,1.45
2005-07-19,64.9,64.9,63.1,64.05,63.9559253737,2119360.0,5581.0,135545630.0,710570.0,33.53,1.8,-0.85
2005-07-20,64.6,64.9,62.5,63.2,63.6365936692,959942.0,3058.0,61087439.0,505508.0,52.66,2.4,-1.4
2005-07-21,63.8,64.0,62.0,62.3,63.1133426561,818068.0,2776.0,51631006.0,420617.0,51.42,2.0,-1.5
2005-07-22,62.35,63.25,61.6,62.05,62.5216061505,407384.0,1999.0,25470302.0,175211.0,43.01,1.65,-0.3
2005-07-25,62.5,62.9,61.1,61.45,61.8185134272,461935.0,1977.0,28556135.0,219947.0,47.61,1.8,-1.05
2005-07-26,61.9,63.9,61.25,62.35,62.5382694389,1071560.0,3873.0,67013508.0,430606.0,40.18,2.65,0.45
2005-07-27,62.8,64.4,62.0,63.4,63.482280722,859149.0,3614.0,54540738.0,256403.0,29.84,2.4,0.6
2005-07-29,63.0,64.4,61.8,62.3,62.9847191528,582363.0,2547.0,36679970.0,263096.0,45.18,2.6,-0.7
2005-08-01,62.9,64.4,62.75,63.4,63.4919487139,1605582.0,4092.0,101941530.0,794257.0,49.47,1.65,0.5
2005-08-02,64.6,74.4,64.2,71.45,70.2728370453,11291938.0,29445.0,793516519.0,3157709.0,27.96,10.2,6.85
2005-08-03,71.85,72.8,68.15,69.6,70.6577890488,4182616.0,13319.0,295534399.0,1131854.0,27.06,4.65,-2.25
2005-08-04,68.0,73.8,67.1,71.7,72.046108277,3356187.0,11525.0,241800212.0,580625.0,17.3,6.7,3.7
2005-08-05,71.8,72.9,71.0,71.55,71.8344767331,1261297.0,4554.0,90604610.0,405671.0,32.16,1.9,-0.25
2005-08-08,72.0,72.45,70.5,70.65,71.2835101663,800190.0,3303.0,57040352.0,285770.0,35.71,1.95,-1.35
2005-08-09,70.35,71.4,68.3,69.35,69.7573657367,764282.0,3085.0,53314299.0,344071.0,45.02,3.1,-1.0
2005-08-10,69.8,73.3,69.8,71.3,71.9700439156,1238513.0,4687.0,89135835.0,312214.0,25.21,3.5,1.5
2005-08-11,72.0,73.25,71.2,71.55,72.0802618206,659230.0,2272.0,47517471.0,313049.0,47.49,2.05,-0.45
2005-08-12,72.0,72.2,70.3,70.65,71.1433252209,327479.0,1705.0,23297945.0,122252.0,37.33,1.9,-1.35
2005-08-16,71.55,71.55,69.05,69.25,69.9578184224,356696.0,1502.0,24953674.0,168434.0,47.22,2.5,-2.3
2005-08-17,69.95,70.9,68.9,69.05,69.7420538793,423131.0,1780.0,29510025.0,209584.0,49.53,2.0,-0.9
2005-08-18,69.9,70.4,68.25,68.7,69.005911544,285543.0,1210.0,19704155.0,141745.0,49.64,2.15,-1.2
2005-08-19,69.6,69.65,67.2,67.6,68.1652436692,316351.0,1306.0,21564143.0,188001.0,59.43,2.45,-2.0
2005-08-22,68.5,68.5,66.25,66.65,66.8888983553,492972.0,1542.0,32974354.0,360363.0,73.1,2.25,-1.85
2005-08-23,66.7,67.35,64.0,64.7,64.9738759413,433585.0,1859.0,28171698.0,252375.0,58.21,3.35,-2.0
2005-08-24,64.95,65.2,64.0,64.65,64.4811993323,192307.0,1026.0,12400186.0,95863.0,49.85,1.2,-0.3
2005-08-25,65.0,67.4,64.5,65.5,65.7145254045,242575.0,1449.0,15940701.0,84774.0,34.95,2.9,0.5
2005-08-26,65.75,66.6,65.75,66.0,66.0311062727,282001.0,972.0,18620838.0,177754.0,63.03,0.85,0.25
2005-08-29,66.05,66.4,64.3,65.4,65.234465064,113808.0,748.0,7424204.0,56332.0,49.5,2.1,-0.65
2005-08-30,66.0,67.2,65.7,66.4,66.3299270073,139740.0,767.0,9268944.0,82121.0,58.77,1.5,0.4
2005-08-31,67.0,68.5,66.15,67.1,67.3088268239,352641.0,1636.0,23735852.0,186947.0,53.01,2.35,0.1
2005-09-01,67.4,68.4,66.7,67.05,67.3414081842,99362.0,708.0,6691177.0,63274.0,63.68,1.7,-0.35
2005-09-02,67.95,73.8,65.9,70.5,71.1034731506,1303082.0,5086.0,92653656.0,348928.0,26.78,7.9,2.55
2005-09-05,71.45,71.45,68.15,68.35,69.7019635262,258871.0,1453.0,18043817.0,139173.0,53.76,3.3,-3.1
2005-09-06,69.0,71.55,68.25,68.9,69.9056483664,400576.0,2259.0,28002525.0,111803.0,27.91,3.3,-0.1
2005-09-08,69.9,69.9,68.4,69.25,69.1060356101,216399.0,1006.0,14954477.0,125473.0,57.98,1.5,-0.65
