Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,1744.4,1778.0,1744.4,1757.35,1762.97336452,143230.0,5186.0,252510675.0,23080.0,16.11,33.6,12.95
2004-01-02,1765.0,1778.0,1751.1,1763.65,1765.46886068,183803.0,4863.0,324498473.0,59533.0,32.39,26.9,-1.35
2004-01-05,1777.0,1798.0,1725.1,1737.25,1756.18271637,201821.0,6624.0,354434552.0,52130.0,25.83,72.9,-39.75
2004-01-06,1765.0,1809.9,1655.0,1676.2,1765.94815441,446171.0,13269.0,787914854.0,107203.0,24.03,154.9,-88.8
2004-01-07,1700.0,1720.0,1665.0,1692.7,1695.05151365,279887.0,9115.0,474422883.0,30526.0,10.91,55.0,-7.3
2004-01-08,1718.9,1749.75,1701.0,1731.1,1730.61521597,340721.0,10179.0,589656947.0,108270.0,31.78,48.75,12.2
2004-01-09,1774.0,1861.0,1720.0,1750.15,1783.7250239,590044.0,15318.0,1052476248.0,160209.0,27.15,141.0,-23.85
2004-01-12,1755.0,1755.0,1718.0,1732.0,1734.93016538,154737.0,5501.0,268457889.0,19914.0,12.87,37.0,-23.0
2004-01-13,1739.7,1759.9,1723.0,1746.05,1745.87250466,188752.0,6609.0,329536927.0,41903.0,22.2,36.9,6.35
2004-01-14,1749.0,1785.0,1749.0,1758.2,1766.15174097,154856.0,5322.0,273499194.0,37153.0,23.99,36.0,9.2
2004-01-15,1760.0,1775.0,1687.15,1694.85,1735.45847016,134602.0,4627.0,233596181.0,24414.0,18.14,87.85,-65.15
2004-01-16,1703.5,1724.0,1658.05,1707.85,1685.30917286,214993.0,8255.0,362329675.0,21551.0,10.02,65.95,4.35
2004-01-19,1716.0,1747.0,1691.25,1735.6,1719.35025789,186711.0,7185.0,321021606.0,48530.0,25.99,55.75,19.6
2004-01-20,1750.0,1763.0,1685.6,1714.25,1737.16219907,244613.0,7884.0,424932457.0,48550.0,19.85,77.4,-35.75
2004-01-21,1751.0,1765.0,1625.15,1650.3,1712.3901332,368164.0,12349.0,630440401.0,51737.0,14.05,139.85,-100.7
2004-01-22,1664.8,1751.0,1620.0,1635.55,1700.4740258,416471.0,14161.0,708198118.0,63462.0,15.24,131.0,-29.25
2004-01-23,1651.0,1730.0,1651.0,1723.4,1688.29601796,256552.0,9007.0,433135720.0,57247.0,22.31,79.0,72.4
2004-01-27,1742.0,1742.0,1680.0,1733.65,1719.35426074,232964.0,8511.0,400547646.0,43485.0,18.67,62.0,-8.35
2004-01-28,1720.0,1731.0,1622.2,1656.7,1679.27026164,278667.0,10131.0,467957206.0,49453.0,17.75,108.8,-63.3
2004-01-29,1654.95,1660.0,1540.0,1570.3,1599.78040685,408214.0,14760.0,653052759.0,69078.0,16.92,120.0,-84.65
2004-01-30,1584.7,1615.0,1545.0,1557.65,1574.37846748,247514.0,9239.0,389680712.0,36389.0,14.7,70.0,-27.05
2004-02-03,1567.65,1580.0,1515.25,1528.15,1544.85019308,208208.0,8146.0,321650169.0,41417.0,19.89,64.75,-39.5
2004-02-04,1540.0,1557.0,1475.0,1517.65,1511.5013484,297019.0,10560.0,448944619.0,50540.0,17.02,82.0,-22.35
2004-02-05,1514.8,1547.0,1481.0,1503.2,1510.62367467,275687.0,10125.0,416459309.0,40178.0,14.57,66.0,-11.6
2004-02-06,1518.0,1562.0,1503.0,1556.65,1537.50802362,270950.0,10303.0,416587799.0,50895.0,18.78,59.0,38.65
2004-02-09,1575.0,1650.0,1560.1,1631.4,1594.57045024,197274.0,7516.0,314567291.0,37876.0,19.2,89.9,56.4
2004-02-10,1629.9,1641.4,1584.0,1600.8,1603.65134366,207270.0,8005.0,332388814.0,46641.0,22.5,57.4,-29.1
2004-02-11,1610.0,1619.0,1595.15,1609.3,1608.87867142,112150.0,4998.0,180435743.0,10709.0,9.55,23.85,-0.7
2004-02-12,1624.7,1627.0,1563.0,1580.05,1589.16954692,179903.0,6533.0,285896369.0,14363.0,7.98,64.0,-44.65
2004-02-13,1580.0,1634.0,1580.0,1627.65,1610.2991381,181692.0,7345.0,292578471.0,17443.0,9.6,54.0,47.65
2004-02-16,1623.0,1638.5,1603.0,1615.85,1623.41538274,131433.0,5407.0,213370354.0,8774.0,6.68,35.5,-7.15
2004-02-17,1618.0,1624.0,1585.05,1607.25,1607.10083371,136978.0,5788.0,220137458.0,13989.0,10.21,38.95,-10.75
2004-02-18,1619.0,1625.0,1586.15,1588.85,1604.58928475,130095.0,5462.0,208749043.0,11476.0,8.82,38.85,-30.15
2004-02-19,1681.1,1681.1,1498.15,1505.95,1535.41156236,268907.0,10413.0,412882917.0,52997.0,19.71,182.95,-175.15
2004-02-20,1497.8,1529.9,1454.8,1514.55,1494.36402063,307076.0,11279.0,458883326.0,59243.0,19.29,75.1,16.75
2004-02-23,1515.0,1520.0,1460.15,1465.9,1490.56354505,135998.0,5376.0,202713661.0,24505.0,18.02,59.85,-49.1
2004-02-24,1465.0,1479.0,1422.35,1463.25,1452.251776,240428.0,8469.0,349161990.0,22134.0,9.21,56.65,-1.75
2004-02-25,1480.0,1480.0,1426.0,1436.05,1445.89800827,179593.0,6623.0,259673161.0,39775.0,22.15,54.0,-43.95
2004-02-26,1450.0,1467.0,1415.0,1422.6,1442.85438468,154139.0,5626.0,222400132.0,28085.0,18.22,52.0,-27.4
2004-02-27,1439.0,1466.9,1395.1,1457.5,1426.16337595,282765.0,10199.0,403269087.0,58575.0,20.72,71.8,18.5
2004-03-01,1465.2,1503.45,1455.0,1499.05,1481.4400278,128051.0,6059.0,189699877.0,10009.0,7.82,48.45,33.85
