Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,994.0,1005.0,985.0,992.05,997.1278782947,157298.0,3186.0,156846221.0,72137.0,45.86,20.0,-1.95
2004-01-02,1000.0,1029.8,1000.0,1022.65,1022.0896638044,343550.0,5148.0,351138904.0,181381.0,52.8,29.8,22.65
2004-01-05,1042.4,1065.5,1018.25,1058.35,1045.626718304,250465.0,5489.0,261892896.0,78643.0,31.4,47.25,15.95
2004-01-06,1063.0,1072.0,1015.1,1028.8,1049.2544194671,135367.0,2821.0,142034423.0,53638.0,39.62,56.9,-34.2
2004-01-07,1030.0,1035.0,1005.5,1022.5,1021.1991618497,103800.0,2496.0,106000473.0,49190.0,47.39,29.5,-7.5
2004-01-08,1033.0,1085.0,1027.0,1077.25,1060.3515861167,243141.0,4060.0,257814945.0,141232.0,58.09,58.0,44.25
2004-01-09,1095.0,1110.0,1068.0,1082.15,1087.9965284651,207113.0,3919.0,225338225.0,105863.0,51.11,42.0,-12.85
2004-01-12,1083.0,1125.0,1073.0,1113.65,1110.0441445298,224286.0,4371.0,248967361.0,105143.0,46.88,52.0,30.65
2004-01-13,1105.0,1115.0,1081.0,1098.25,1102.7695357279,146552.0,3336.0,161613081.0,62300.0,42.51,34.0,-6.75
2004-01-14,1104.0,1140.0,1104.0,1135.15,1124.6580760427,179110.0,3161.0,201437508.0,90704.0,50.64,36.0,31.15
2004-01-15,1143.75,1167.0,1124.0,1131.9,1144.9576982807,218289.0,4082.0,249931671.0,82197.0,37.66,43.0,-11.85
2004-01-16,1130.0,1144.0,1113.0,1121.7,1130.4826148423,111762.0,2778.0,126344998.0,42333.0,37.88,31.0,-8.3
2004-01-19,1116.1,1151.0,1112.0,1140.35,1134.7305752813,125330.0,2592.0,142215783.0,60233.0,48.06,39.0,24.25
2004-01-20,1148.0,1153.0,1111.55,1119.0,1141.222772656,104564.0,2429.0,119330818.0,43578.0,41.68,41.45,-29.0
2004-01-21,1100.55,1142.0,1096.0,1110.25,1110.9274422206,95579.0,2220.0,106181334.0,41115.0,43.02,46.0,9.7
2004-01-22,1109.0,1121.9,1065.05,1078.45,1100.1433908547,166489.0,3677.0,183161773.0,88362.0,53.07,56.85,-30.55
2004-01-23,1084.0,1085.0,992.0,1039.8,1020.3744013878,243271.0,4396.0,248227501.0,110807.0,45.55,93.0,-44.2
2004-01-27,1055.0,1067.0,1022.0,1051.15,1047.562725445,135288.0,2466.0,141722666.0,72837.0,53.84,45.0,-3.85
2004-01-28,1065.0,1065.0,1008.0,1018.45,1032.8310156,106282.0,1917.0,109771346.0,65765.0,61.88,57.0,-46.55
2004-01-29,1025.0,1049.0,1019.05,1033.05,1034.7774733486,140518.0,2735.0,145404861.0,46235.0,32.9,29.95,8.05
2004-01-30,1036.0,1043.0,1018.05,1022.6,1024.8745522739,82919.0,2020.0,84981573.0,33615.0,40.54,24.95,-13.4
2004-02-03,1034.0,1045.0,985.0,1020.75,1023.7863988748,122284.0,2653.0,125192696.0,59399.0,48.57,60.0,-13.25
2004-02-04,1022.0,1026.9,992.4,1001.9,1004.0289695089,134072.0,2962.0,134612172.0,67951.0,50.68,34.5,-20.1
2004-02-05,1000.0,1009.8,970.0,974.5,989.4878523685,103230.0,2691.0,102144831.0,44633.0,43.24,39.8,-25.5
2004-02-06,974.0,1003.0,974.0,985.65,988.57152174516,144124.0,2466.0,142476882.0,49644.0,34.45,29.0,11.65
2004-02-09,993.0,1004.0,990.5,996.35,995.53421888888,82133.0,1817.0,81766212.0,41994.0,51.13,13.5,3.35
