Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,206.05,215.45,206.05,212.6,212.20076275949,2375585.0,12353.0,504100949.0,810225.0,34.11,9.4,6.55
2004-01-02,215.0,216.15,212.3,215.55,214.26470564173,1100105.0,6813.0,235713674.0,358813.0,32.62,3.85,0.55
2004-01-05,217.55,217.9,211.0,213.85,214.0416511621,835775.0,5607.0,178890661.0,282408.0,33.79,6.9,-3.7
2004-01-06,215.0,218.0,212.0,213.2,214.87398946001,1382924.0,7092.0,297154397.0,701146.0,50.7,6.0,-1.8
2004-01-07,215.1,215.1,206.2,209.85,209.45407560636,640052.0,5013.0,134061500.0,201134.0,31.42,8.9,-5.25
2004-01-08,211.4,213.5,209.35,210.05,210.85646282602,1671142.0,5887.0,352371091.0,1126536.0,67.41,4.15,-1.35
2004-01-09,211.95,216.0,209.5,211.15,212.72442213891,2034572.0,5545.0,432803153.0,1392039.0,68.42,6.5,-0.8
2004-01-12,211.9,213.5,206.25,208.1,210.34625136119,1695202.0,5744.0,356579386.0,1095536.0,64.63,7.25,-3.8
2004-01-13,209.0,210.0,204.9,208.4,207.23913354138,734761.0,4457.0,152271233.0,314990.0,42.87,5.1,-0.6
2004-01-14,209.9,211.5,206.3,207.3,208.03670305818,617360.0,3785.0,128433539.0,246139.0,39.87,5.2,-2.6
2004-01-15,208.95,211.25,206.5,208.2,208.72791028147,1075274.0,6307.0,224439695.0,407060.0,37.86,4.75,-0.75
2004-01-16,209.0,209.8,204.0,205.1,207.07091931551,1200491.0,7139.0,248586775.0,586654.0,48.87,5.8,-3.9
2004-01-19,204.0,208.0,201.5,207.05,205.13041989726,686406.0,5434.0,140802751.0,269007.0,39.19,6.5,3.05
2004-01-20,207.4,207.7,202.3,203.55,205.0154272464,658964.0,4199.0,135097786.0,287527.0,43.63,5.4,-3.85
2004-01-21,204.4,205.3,199.0,200.15,201.7245131829,633965.0,4309.0,127886281.0,194917.0,30.75,6.3,-4.25
2004-01-22,201.0,201.75,191.7,192.95,197.33439058928,785997.0,4550.0,155104239.0,292738.0,37.24,10.05,-8.05
2004-01-23,195.45,197.9,190.0,195.05,193.31682234491,890619.0,6074.0,172171635.0,379988.0,42.67,7.9,-0.4
2004-01-27,198.0,202.95,194.15,202.0,198.76764168641,932323.0,5244.0,185315644.0,332186.0,35.63,8.8,4.0
2004-01-28,201.7,202.0,191.5,193.1,194.75297355262,2236214.0,8568.0,435509326.0,1192751.0,53.34,10.5,-8.6
2004-01-29,193.0,194.9,186.25,187.85,190.91198548774,1692914.0,6487.0,323197573.0,1022247.0,60.38,8.65,-5.15
2004-01-30,189.1,189.9,186.1,188.75,188.41947351826,716758.0,4153.0,135051165.0,320548.0,44.72,3.8,-0.35
2004-02-03,188.9,194.4,187.2,191.7,190.47573690794,1059325.0,5702.0,201775710.0,423979.0,40.02,7.2,2.8
2004-02-04,192.1,193.95,188.75,193.1,191.60634812521,610763.0,4241.0,117026068.0,239170.0,39.16,5.2,1.0
2004-02-05,194.6,195.65,191.5,194.45,193.58788408636,998571.0,4564.0,193311247.0,528634.0,52.94,4.15,-0.15
2004-02-06,193.25,195.0,187.85,189.45,190.77932946806,951722.0,4602.0,181568885.0,351447.0,36.93,7.15,-3.8
2004-02-09,193.0,193.35,189.8,193.2,191.94944449446,555350.0,2536.0,106599124.0,332797.0,59.93,3.55,0.2
2004-02-10,194.0,195.8,192.4,193.75,194.56462563617,825841.0,4347.0,160679445.0,415171.0,50.27,3.4,-0.25
2004-02-11,194.5,196.4,193.5,195.55,194.56964848242,499975.0,2848.0,97279960.0,243964.0,48.8,2.9,1.05
2004-02-12,196.0,198.0,194.75,197.65,196.37632221096,914283.0,4645.0,179543533.0,461838.0,50.51,3.25,1.65
2004-02-13,197.75,203.65,195.45,202.95,199.84851613458,1115802.0,6658.0,222991374.0,446587.0,40.02,8.2,5.2
2004-02-16,205.75,205.75,198.5,199.45,201.37138175261,820183.0,4640.0,165161384.0,354114.0,43.17,7.25,-6.3
2004-02-17,200.9,200.9,191.55,192.8,196.29502485861,2222972.0,13446.0,436358344.0,507476.0,22.83,9.35,-8.1
2004-02-18,193.0,193.8,187.1,187.6,189.83954360472,988792.0,7742.0,187711822.0,441631.0,44.66,6.7,-5.4
2004-02-19,187.15,188.9,181.5,182.05,185.36005852676,1118121.0,7331.0,207254974.0,481139.0,43.03,7.4,-5.1
2004-02-20,181.5,183.15,178.0,179.35,181.22460398563,1175273.0,7133.0,212988384.0,508365.0,43.26,5.15,-2.15
2004-02-23,180.0,180.45,174.0,174.55,176.80519250917,995511.0,5804.0,176011514.0,430182.0,43.21,6.45,-5.45
2004-02-24,175.0,176.45,172.1,175.9,174.80775633189,1167227.0,6948.0,204040333.0,494533.0,42.37,4.35,0.9
2004-02-25,176.25,176.25,172.25,174.5,174.53014894969,752066.0,3946.0,131258191.0,326554.0,43.42,4.0,-1.75
2004-02-26,174.9,177.3,172.05,172.6,174.66932340809,1635964.0,4950.0,285752725.0,970430.0,59.32,5.25,-2.3
2004-02-27,173.9,174.75,171.55,174.05,173.64809701542,531297.0,3062.0,92258713.0,202089.0,38.04,3.2,0.15
2004-03-01,174.9,174.9,172.25,173.95,173.30211570205,696081.0,3317.0,120632310.0,361367.0,51.91,2.65,-0.95
2004-03-03,173.5,174.0,164.15,164.7,167.34116694374,1748619.0,9381.0,292615944.0,876010.0,50.1,9.85,-8.8
2004-03-04,164.0,165.45,157.35,158.05,161.28070109052,1797029.0,11098.0,289826097.0,824000.0,45.85,8.1,-5.95
2004-03-05,159.0,162.55,157.1,158.35,159.59463092808,2535075.0,13024.0,404584359.0,825605.0,32.57,5.45,-0.65
2004-03-08,159.9,159.95,156.0,156.35,157.60851199369,1905711.0,7237.0,300356275.0,1157996.0,60.76,3.95,-3.55
2004-03-09,156.05,156.3,152.6,154.4,154.14709043201,1656294.0,7222.0,255312901.0,753361.0,45.48,3.7,-1.65
2004-03-10,154.0,155.25,148.65,149.35,150.81471379178,1900190.0,13233.0,286576611.0,518411.0,27.28,6.6,-4.65
2004-03-11,149.0,157.4,149.0,154.3,155.24569844497,4239339.0,16933.0,658139144.0,1918596.0,45.26,8.4,5.3
2004-03-12,154.0,160.0,152.0,157.5,154.94807382467,2441081.0,9975.0,378240799.0,1475640.0,60.45,8.0,3.5
2004-03-15,159.7,160.5,153.5,153.9,156.54476747023,1578099.0,7800.0,247043141.0,910155.0,57.67,7.0,-5.8
2004-03-16,153.9,153.9,148.75,150.95,150.69696132807,1973395.0,7571.0,297384630.0,877267.0,44.45,5.15,-2.95
2004-03-17,151.45,152.45,142.5,144.0,145.81935606563,2329461.0,12380.0,339680503.0,1239907.0,53.23,9.95,-7.45
2004-03-18,143.9,147.1,143.3,144.8,146.04905444061,4422250.0,7283.0,645865431.0,3557770.0,80.45,3.8,0.9
2004-03-19,144.8,150.2,144.0,147.9,148.4772223365,2109874.0,6340.0,313268231.0,1463413.0,69.36,6.2,3.1
2004-03-22,147.1,150.9,147.1,149.55,149.50555647099,1814551.0,7273.0,271285457.0,1111906.0,61.28,3.8,2.45
2004-03-23,149.75,151.6,148.05,150.7,149.8118619484,466753.0,4850.0,69925136.0,153968.0,32.99,3.55,0.95
2004-03-24,150.0,152.0,146.2,148.25,148.14088353928,1719335.0,4908.0,254703806.0,1211640.0,70.47,5.8,-1.75
2004-03-25,148.5,148.5,143.65,145.45,146.66451835153,2711272.0,5826.0,397647402.0,1957018.0,72.18,4.85,-3.05
2004-03-26,140.0,149.5,140.0,148.1,147.29851564595,2423950.0,5458.0,357044237.0,2050262.0,84.58,9.5,8.1
