Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,5605.0,5653.0,5587.0,5632.05,5629.2756715174,77995.0,6262.0,439055356.0,8212.0,10.53,66.0,27.05
2004-01-02,5645.25,5710.0,5617.0,5672.45,5666.8462066474,110720.0,7527.0,627433212.0,19533.0,17.64,93.0,27.2
2004-01-05,5720.0,5932.0,5690.0,5892.35,5801.0912723257,142157.0,9932.0,824665732.0,16478.0,11.59,242.0,172.35
2004-01-06,5945.7,5950.0,5625.05,5654.65,5807.63323308,168573.0,10568.0,979010157.0,27430.0,16.27,324.95,-291.05
2004-01-07,5690.0,5791.0,5592.0,5674.05,5687.545287934,249901.0,15487.0,1421323255.0,43633.0,17.46,199.0,-15.95
2004-01-08,5700.0,5888.0,5700.0,5838.95,5824.9799418,288660.0,15353.0,1681438710.0,76723.0,26.58,188.0,138.95
2004-01-09,5950.0,6129.0,5761.0,5805.8,5901.2483206851,367114.0,22922.0,2166430876.0,63516.0,17.3,368.0,-144.2
2004-01-12,5800.0,5850.0,5681.0,5720.75,5736.0070129761,119065.0,8978.0,682957675.0,22994.0,19.31,169.0,-79.25
2004-01-13,5750.0,5806.0,5688.0,5793.8,5766.0966963193,151195.0,10046.0,871804990.0,27180.0,17.98,118.0,43.8
2004-01-14,5775.0,5811.0,5680.0,5698.55,5741.5718006332,117492.0,8804.0,674588754.0,27779.0,23.64,131.0,-76.45
2004-01-15,5735.0,5750.05,5521.0,5553.1,5631.5092004796,192653.0,13018.0,1084927142.0,46298.0,24.03,229.05,-181.9
2004-01-16,5580.0,5580.0,5475.0,5525.4,5519.7459811679,167586.0,11957.0,925032150.0,31443.0,18.76,105.0,-54.6
2004-01-19,5547.0,5560.0,5386.0,5501.55,5460.9370328959,169930.0,11553.0,927977030.0,39616.0,23.31,174.0,-45.45
2004-01-20,5549.0,5618.7,5375.0,5391.65,5513.8338753748,157737.0,10486.0,869735614.0,25078.0,15.9,243.7,-157.35
2004-01-21,5400.0,5552.8,5330.0,5370.4,5479.4744044968,166162.0,12020.0,910480426.0,21814.0,13.13,222.8,-29.6
2004-01-22,5439.0,5539.9,5050.0,5173.65,5313.6717383862,368054.0,17676.0,1955718138.0,100268.0,27.24,489.9,-265.35
2004-01-23,5230.0,5510.0,5209.9,5484.45,5319.5964600783,233169.0,13942.0,1240364987.0,55901.0,23.97,300.1,254.45
2004-01-27,5497.0,5625.0,5200.0,5591.3,5429.1422870537,154863.0,11203.0,840773262.0,21525.0,13.9,425.0,94.3
2004-01-28,5550.0,5560.0,5340.0,5438.35,5448.0018849592,154380.0,10854.0,841062531.0,27510.0,17.82,220.0,-111.65
2004-01-29,5377.0,5398.0,5205.0,5265.15,5305.3141925287,179059.0,12623.0,949964254.0,31970.0,17.85,193.0,-111.85
2004-01-30,5299.8,5345.0,5151.0,5195.15,5263.7340145204,145726.0,11277.0,767062903.0,12689.0,8.71,194.0,-104.65
2004-02-03,5228.4,5262.0,5142.1,5213.55,5205.5293215937,211363.0,13429.0,1100256294.0,54096.0,25.59,119.9,-14.85
2004-02-04,5200.0,5424.0,5200.0,5369.35,5283.38901238,129564.0,9717.0,684537014.0,31893.0,24.62,224.0,169.35
2004-02-05,5345.0,5548.0,5301.0,5461.95,5415.9761281666,345051.0,15909.0,1868787979.0,118655.0,34.39,247.0,116.95
2004-02-06,5430.0,5600.0,5400.0,5575.75,5511.1690348695,237170.0,14601.0,1307083960.0,62529.0,26.36,200.0,145.75
2004-02-09,5575.0,5714.0,5575.0,5655.65,5659.7021161908,207779.0,13570.0,1175967246.0,64703.0,31.14,139.0,80.65
2004-02-10,5710.1,5710.1,5490.0,5506.8,5566.2107462326,198879.0,13022.0,1107002427.0,32067.0,16.12,220.1,-203.3
2004-02-11,5550.0,5588.0,5441.0,5469.4,5502.0083362117,150548.0,11113.0,828316351.0,26028.0,17.29,147.0,-80.6
2004-02-12,5520.0,5524.0,5315.0,5354.05,5381.5075079507,467571.0,23665.0,2516236847.0,122322.0,26.16,209.0,-165.95
2004-02-13,5360.0,5429.0,5331.0,5377.4,5380.1860193851,216042.0,16728.0,1162346148.0,36667.0,16.97,98.0,17.4
2004-02-16,5398.0,5437.8,5341.0,5350.4,5380.6263944689,156063.0,11503.0,839716697.0,22194.0,14.22,96.8,-47.6
2004-02-17,5360.0,5420.9,5345.0,5401.15,5386.6072244853,118569.0,10332.0,638684632.0,10150.0,8.56,75.9,41.15
2004-02-18,5445.0,5465.0,5320.15,5340.75,5399.3900822654,152555.0,10823.0,823703954.0,32091.0,21.04,144.85,-104.25
2004-02-19,5361.0,5361.0,5080.15,5095.75,5199.9767438111,248106.0,17408.0,1290145430.0,49481.0,19.94,280.85,-265.25
2004-02-20,5122.0,5240.0,5011.0,5086.0,5113.6379341626,374802.0,23577.0,1916601725.0,60903.0,16.25,229.0,-36.0
2004-02-23,5100.0,5165.0,5061.0,5080.95,5114.3947709354,234650.0,14897.0,1200092733.0,57098.0,24.33,104.0,-19.05
2004-02-24,5070.0,5111.0,4925.0,5040.35,5022.6818238226,290094.0,18628.0,1457049861.0,62225.0,21.45,186.0,-29.65
2004-02-25,5050.0,5065.0,4932.2,4957.8,5006.330772396,184698.0,12278.0,924659281.0,36218.0,19.61,132.8,-92.2
2004-02-26,4981.0,5050.0,4830.15,4857.15,4970.0972182849,225760.0,12648.0,1122049148.0,51640.0,22.87,219.85,-123.85
2004-02-27,4900.0,5098.0,4855.0,5071.9,4961.368328461,268866.0,15389.0,1333943257.0,63118.0,23.48,243.0,171.9
2004-03-01,5098.0,5340.0,5090.0,5322.2,5262.8593360215,249737.0,16598.0,1314330702.0,76724.0,30.72,250.0,224.2
2004-03-03,5305.0,5315.0,5145.0,5186.9,5203.7497187227,287972.0,15534.0,1498534214.0,52559.0,18.25,170.0,-118.1
2004-03-04,5200.0,5372.8,5168.0,5297.0,5301.8829993987,444049.0,21490.0,2354295844.0,158842.0,35.77,204.8,97.0
2004-03-05,5310.0,5325.0,5225.15,5241.55,5265.3549199682,164747.0,10921.0,867451427.0,11845.0,7.19,99.85,-68.45
2004-03-08,5248.0,5250.0,5100.15,5108.15,5153.0773471481,210596.0,13207.0,1085217477.0,49751.0,23.62,149.85,-139.85
2004-03-09,5075.0,5075.0,4870.55,4970.3,4944.4254743229,357615.0,23309.0,1768200716.0,62100.0,17.37,204.45,-104.7
2004-03-10,4900.0,4954.0,4851.0,4888.0,4903.3261319192,257218.0,17138.0,1261223741.0,42774.0,16.63,103.0,-12.0
2004-03-11,4850.0,4919.9,4810.0,4853.85,4872.3294058205,247400.0,17695.0,1205414295.0,37699.0,15.24,109.9,3.85
2004-03-12,4850.0,5143.8,4777.2,5059.8,4898.4703514133,442129.0,26062.0,2165755798.0,102504.0,23.18,366.6,209.8
2004-03-15,5125.0,5165.0,4900.0,4925.8,5051.3036321828,255714.0,16109.0,1291689057.0,32791.0,12.82,265.0,-199.2
2004-03-16,4902.0,4980.0,4836.2,4949.2,4909.0099854479,228833.0,19383.0,1123343482.0,32549.0,14.22,143.8,47.2
2004-03-17,4975.0,5115.0,4969.0,5032.7,5044.4521559734,278227.0,19070.0,1403502790.0,69210.0,24.88,146.0,57.7
2004-03-18,5036.0,5088.7,4916.0,4924.9,5029.817467573,220958.0,16660.0,1111378408.0,51853.0,23.47,172.7,-111.1
2004-03-19,4919.0,5228.6,4919.0,5186.75,5116.1967033586,355210.0,25245.0,1817324231.0,75884.0,21.36,309.6,267.75
2004-03-22,5220.0,5220.0,5027.1,5081.6,5093.0089795313,148226.0,10431.0,754916349.0,10750.0,7.25,192.9,-138.4
2004-03-23,5040.0,5230.0,5016.35,5157.5,5125.5432851488,203869.0,15701.0,1044939384.0,17782.0,8.72,213.65,117.5
2004-03-24,5180.0,5180.0,4995.2,5044.7,5054.7044267047,213206.0,17213.0,1077693312.0,23952.0,11.23,184.8,-135.3
2004-03-25,5044.7,5220.0,5031.0,5166.1,5123.8429786712,195604.0,12633.0,1002244182.0,46012.0,23.52,189.0,121.4
