Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,299.7,305.4,297.1,302.05,302.846450679,335853.0,3189.0,101711889.0,139925.0,41.66,8.3,2.35
2004-01-02,303.0,309.4,302.0,306.85,305.518465036,919657.0,3827.0,280972195.0,659564.0,71.72,7.4,3.85
2004-01-05,309.8,318.3,306.0,311.6,312.3612394,584186.0,4673.0,182477063.0,220887.0,37.81,12.3,1.8
2004-01-06,312.25,317.0,309.5,312.1,314.098093886,1573411.0,4248.0,494205396.0,1309030.0,83.2,7.5,-0.15
2004-01-07,310.0,313.5,300.25,304.95,306.661929383,760492.0,2366.0,233213944.0,592945.0,77.97,13.25,-5.05
2004-01-08,307.0,307.95,299.15,302.55,302.216392354,930934.0,4631.0,281343515.0,649621.0,69.78,8.8,-4.45
2004-01-09,306.0,317.5,303.0,304.45,310.305914516,2084566.0,7380.0,646853159.0,1360357.0,65.26,14.5,-1.55
2004-01-12,307.0,311.75,304.0,305.1,306.34890154,354633.0,2948.0,108641430.0,125076.0,35.27,7.75,-1.9
2004-01-13,307.9,310.0,303.55,309.0,306.587623298,287007.0,2449.0,87992794.0,127110.0,44.29,6.45,1.1
2004-01-14,310.8,312.4,304.0,307.0,308.045697486,917359.0,4256.0,282588493.0,336180.0,36.65,8.4,-3.8
2004-01-15,311.7,314.95,298.75,299.4,305.059302953,974454.0,6322.0,297266258.0,273941.0,28.11,16.2,-12.3
2004-01-16,298.0,298.2,275.0,283.4,287.744658111,1876864.0,9411.0,540057590.0,869590.0,46.33,23.2,-14.6
2004-01-19,285.0,302.9,283.15,301.25,293.351615661,1732511.0,6368.0,508234901.0,1244595.0,71.84,19.75,16.25
2004-01-20,303.0,306.8,293.6,295.4,302.624476719,1700089.0,4258.0,514488544.0,235829.0,13.87,13.2,-7.6
2004-01-21,294.9,300.35,290.0,294.85,295.735283765,1119376.0,5246.0,331038979.0,755869.0,67.53,10.35,-0.05
2004-01-22,295.0,300.0,285.0,292.2,293.916085857,1073645.0,5366.0,315561536.0,710226.0,66.15,15.0,-2.8
2004-01-23,289.7,296.0,279.1,292.1,287.727447049,308208.0,3354.0,88679901.0,136713.0,44.36,16.9,2.4
2004-01-27,294.95,308.0,290.05,305.85,300.163067219,2340961.0,3452.0,702670034.0,2133131.0,91.12,17.95,10.9
2004-01-28,308.85,309.5,290.0,294.4,298.645277949,436897.0,4069.0,130477226.0,207319.0,47.45,19.5,-14.45
