Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-01-01,455.0,458.0,452.2,454.15,455.17969327633,871012.0,6362.0,396466975.0,103639.0,11.9,5.8,-0.85
2004-01-02,456.25,460.75,453.1,456.85,457.33463774906,689453.0,5080.0,315310738.0,127898.0,18.55,7.65,0.6
2004-01-05,456.0,463.0,450.1,455.05,456.56031095172,1124033.0,7337.0,513188856.0,229732.0,20.44,12.9,-0.95
2004-01-06,459.0,465.0,448.25,452.1,460.06199681195,1063345.0,7272.0,489204624.0,222467.0,20.92,16.75,-6.9
2004-01-07,455.5,455.5,438.25,447.35,444.27006396636,1512201.0,9797.0,671825635.0,306011.0,20.24,17.25,-8.15
2004-01-08,451.7,467.1,451.5,465.25,460.78096326359,1024787.0,6768.0,472202341.0,206427.0,20.14,15.6,13.55
2004-01-09,474.0,476.45,460.0,466.3,469.21665448468,1260057.0,8025.0,591239730.0,318078.0,25.24,16.45,-7.7
2004-01-12,468.0,478.7,464.0,467.75,472.27150009227,1246390.0,8383.0,588634475.0,134697.0,10.81,14.7,-0.25
2004-01-13,470.0,497.9,465.0,494.75,482.87682319624,2320307.0,13799.0,1120422473.0,375768.0,16.19,32.9,24.75
2004-01-14,495.1,512.4,491.3,507.85,503.04284809951,2421671.0,16395.0,1218204277.0,173930.0,7.18,21.1,12.75
2004-01-15,510.0,514.95,486.0,489.0,504.27752429044,2600612.0,15725.0,1311430181.0,220884.0,8.49,28.95,-21.0
2004-01-16,490.4,502.8,481.15,487.9,492.80176597694,2860513.0,21818.0,1409665858.0,218772.0,7.65,21.65,-2.5
2004-01-19,490.0,511.85,485.0,509.45,498.58755484914,2061108.0,14699.0,1027642798.0,262965.0,12.76,26.85,19.45
2004-01-20,512.5,518.9,481.55,486.1,503.11300072995,2407011.0,16310.0,1210998527.0,156269.0,6.49,37.35,-26.4
2004-01-21,485.8,490.0,455.0,458.45,475.97409302938,2713401.0,17388.0,1291508580.0,322979.0,11.9,35.0,-27.35
2004-01-22,469.95,474.0,408.0,416.8,450.06476889353,4201029.0,26674.0,1890735146.0,360377.0,8.58,66.0,-53.15
2004-01-23,424.6,470.0,424.0,467.45,448.29669349853,3339935.0,25125.0,1497281817.0,289273.0,8.66,46.0,42.85
2004-01-27,471.7,513.3,471.7,510.45,498.96470929341,5487337.0,31185.0,2737987511.0,705773.0,12.86,41.6,38.75
2004-01-28,512.0,530.9,499.4,518.5,516.13044441369,7412598.0,47944.0,3825867500.0,607718.0,8.2,31.5,6.5
2004-01-29,519.0,540.0,512.0,528.25,525.33529110767,6666073.0,42343.0,3501923400.0,624288.0,9.37,28.0,9.25
2004-01-30,530.5,530.5,515.65,519.85,523.03101511876,5662303.0,35386.0,2961560086.0,626760.0,11.07,14.85,-10.65
2004-02-03,519.8,525.8,501.1,512.45,514.09911152549,3590874.0,25287.0,1846065133.0,567574.0,15.81,24.7,-7.35
2004-02-04,513.65,546.4,512.0,544.55,530.14103375672,2993567.0,24134.0,1587012704.0,368400.0,12.31,34.4,30.9
2004-02-05,546.2,551.3,511.05,518.9,533.95230492384,5026934.0,37204.0,2684142996.0,382414.0,7.61,40.25,-27.3
2004-02-06,521.0,533.9,512.65,531.85,522.63787244772,3160947.0,25224.0,1652030615.0,249623.0,7.9,21.25,10.85
2004-02-09,536.0,544.0,528.0,541.0,536.56349879848,2955426.0,20320.0,1585773715.0,364583.0,12.34,16.0,5.0
2004-02-10,541.9,544.25,526.15,535.55,536.17047781247,3490114.0,21752.0,1871296091.0,247231.0,7.08,18.1,-6.35
2004-02-11,537.0,544.4,534.3,542.65,539.60756839251,2226523.0,15788.0,1201448662.0,172083.0,7.73,10.1,5.65
2004-02-12,540.15,547.9,533.0,541.7,542.14915017383,2292763.0,16860.0,1243019512.0,141751.0,6.18,14.9,1.55
2004-02-13,540.0,555.0,536.5,553.2,546.42163927341,2572896.0,16755.0,1405886050.0,467651.0,18.18,18.5,13.2
2004-02-16,556.35,565.2,550.7,559.3,559.13077214916,2185083.0,18712.0,1221747145.0,117257.0,5.37,14.5,2.95
2004-02-17,558.0,561.25,551.95,558.9,556.77427376519,1673288.0,13492.0,931643711.0,84655.0,5.06,9.3,0.9
2004-02-18,562.8,570.0,561.0,563.25,565.93876786196,1544973.0,14443.0,874360116.0,186014.0,12.04,9.0,0.45
2004-02-19,566.0,568.0,540.0,544.0,550.71104585014,2511966.0,16727.0,1383367423.0,446204.0,17.76,28.0,-22.0
2004-02-20,543.0,558.0,532.0,552.55,545.30812175263,2837294.0,20640.0,1547199462.0,303894.0,10.71,26.0,9.55
